Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description
5165,chore: deprecate some NSVisualEffectMaterial types (#19072),0.59294677,Removed experimentalCanvasFeatures property. #13684,
5166,chore: bump chromium to f156cb7658ec5382f5623a05841c6 (master) (#19096),0.7684082,Chromium v83.0.4103.50,
5167,chore: fix node ref to point to the ref that was merged (#19098),0.6247034,chore: fix tag cleanup. #16355 ,
5168,chore: remove unused BrowserWindow.fromDevToolsWebContents (#19090),0.82385695,Fixed an issue where BrowserWindow.fromDevToolsWebContents would throw an,
5169,feat: convert webContents primitives to properties (#18998),0.8837923,Converted webContents primitive getters and setters to actual properties. #18998,
5170,Bump v7.0.0-nightly.20190703,0.7478623,- Bump version number to 1.0.0.,
5171,fix: ignore non-absolute session preload script paths when sandboxed (#19066),0.8940633,Non-absolute session preload script paths are now ignored for sandboxed renderers. #19066,
5172,chore: bump chromium to f1d9522c04ca8fa0a906f88ababe9 (master) (#18648),0.7757453,Chromium v83.0.4103.50,
5173,build: update our nan reference to point at the upstream (#19084),0.5147422,Backported fixes for UAF in extensions (CVE-2020-6454 and NOCVE). #24419,
5174,test: fix flaky onbeforeunload tests (#19085),0.76547676,test: fix a bunch of flaky tests related to emittedOnce (backport: 4-0-x). #15891 ,
5175,test: attempt to fix flaky webview.clearHistory test (#19083),0.6305581,Fixed crashes and added tests for View API. #12995,
5176,Bump v7.0.0-nightly.20190702,0.7530111,- Bump version number to 1.0.0.,
5177,docs: fix undefined isMac in menu example (#19071),0.64759135,"Fixed an occasional menu crash on macOS Catalina when menu is closing. #23806 (Also in 8, 9)",
5178,fix: disable nodeIntegration & insecure resource warnings for localhost (#18814),0.8571049,"""Node integration with remote content"" and ""loading insecure content"" warning messages are suppressed for localhost connections. #18814",
5179,docs: make the dialog example work out of the box on all 3 platforms (#19055),0.6489228,- Make dialog.showMessageBox use native dialogs on Windows and Linux.,
5180,feat: improve callback value for webContents.print() (#19000),0.8773371,Added a callback option to webContents.print. #10081,
5181,chore: update @types/node and @primer/octicons (#19025),0.8180437,chore: update @types/node version for 3-1-x. #18283 ,
5182,fix: add shell=True to make run-gn-format run properly on Windows (#18993),0.55681306,- win: Fix formating in console.log.,
5183,fix: Correct modal focus behavior on macOS (#18995),0.8111005,Fixed bug on macOS where the main window could be targeted for a focus event when it was disabled behind a modal. #24354,
5184,Bump v7.0.0-nightly.20190701,0.754074,- Bump version number to 1.0.0.,
5185,chore: DirectoryLister memory management improvement (#18634),0.617893,- Improve memory usage when using remote module.,
5186,chore: remove unused switches::kDisableHtmlFullscreenWindowResize (#19041),0.7000789,"Fixed ""screen"" methods to be reassignable again. #26868 (Also in 11)",
5187,fix: fire close event upon closing modal BrowserWindow in macOS (#19014),0.8600372,Fixed bug where the close event would not emit upon closing modal window on macOS. #19014,
5188,Bump v7.0.0-nightly.20190630,0.7558283,- Bump version number to 1.0.0.,
5189,feat: add a series of new printing options (#18984),0.890693,Added printing customization options. #18984,
5190,Bump v7.0.0-nightly.20190629,0.7546417,- Bump version number to 1.0.0.,
5191,refactor: nws13n: setCertificateVerifyProc (#18221),0.7287173,"Fixed a network process crash that could happen when using setCertificateVerifyProc with many concurrent verification requests. #28470 (Also in 12, 13)",
5192,fix: correct triggeredByAccelerator Event property behavior (#18865),0.82714796,Fixed triggeredByAccelerator Event property behavior for MenuItems. #18865,
5193,fix: do not remove node globals when context isolation is enabled (#18967),0.81802994,"Node.JS globals (process, Buffer, etc.) are no longer removed from the global scope if you have contextIsolation enabled as it is safe for those variables to still exist in their isolated world. #18967",
5194,docs: UploadData does not have contentType (#19026),0.6608164,Fixed webRequest module not recognizing the encoding of the filename in Content-Disposition header. #25961 ,
5195,"Revert ""Bump v7.0.0-nightly.20190628""",0.75838315,- Bump version number to 1.0.0.,
5196,Bump v7.0.0-nightly.20190628,0.7525488,- Bump version number to 1.0.0.,
5197,fix: crash when tray popup called twice (#18999),0.9384258,Fixed a crash on tray popup being called multiple times in a row. #18999,
5198,test: move tray api tests to main process (#18986),0.5409861,fix: add microtask runner and fix promise test (backport: 4-0-x). #15171 ,
5199,docs: documentation of NetworkService-based protocol module (#18952),0.672189,- Add protocol.registerServiceWorkerSchemes API.,
5200,fix: delay emitting screen events by a tick to avoid re-entrancy crash (#19016),0.6773054,- Fix events not emitted for current monitor in screen module.,
5201,docs: fix platform location for params (#18987),0.5283298,  similar to other platforms. #8733,
5202,test: move protocol specs to main process (#18923),0.57821065,Added support for MessagePort in the main process. #24323,
5203,Bump v7.0.0-nightly.20190627,0.75369716,- Bump version number to 1.0.0.,
5204,fix: silent printing mode (#18979),0.8587813,Fixed silent printing across platforms. #19037,
5205,change menu item docs (#18985),0.73202467,Changed menu item order control. #12362,
5206,build: fix include paths so that file is absolute not relative (#18997),0.57461345,- Enable getting real file path from the File object.,
5207,chore: use ScopedPumpMessagesInPrivateModes in tray (#18977),0.659979,- Add tray.getBounds() API. #6159,
5208,Bump v7.0.0-nightly.20190626,0.7534932,- Bump version number to 1.0.0.,
5209,fix: set size of GTK about panel icon (#18957),0.706046,Fixed incorrect display of some GtkMessageDialog icons. #15341,
5210,docs: precise that node integration is enabled in natively opened window if nodeIntegrationInSubFrames is true (#18156),0.7527858,- Fix node-integration option not working in window.open.,
5211,feat: show optional authors in gtk about panel (#18964),0.63642263,"Fixed default label text in GTK dialogs. #31824 (Also in 14, 15)",
5212,Bump v7.0.0-nightly.20190625,0.7550577,- Bump version number to 1.0.0.,
5213,fix: make tray not block main process (#18880),0.65793747,fix: crash when tray is destroyed. #14366 ,
5214,docs: update badges (#18955),0.68081725,Minor documentation updates and fixes. #13856,
5215,spec: fix flakiness of test BrowserWindow.moveTop (#18962),0.7491747,Fixed BrowserWindow.moveAbove on Windows. #23161 ,
5216,spec: remove unused variables (#18947),0.6078726,chore: remove unused module. #15924 ,
5217,move screen api test to main process (#18956),0.6023685,- Fix the main process hanging on exit.,
5218,fix: override the timers module impls to activate the uv loop (#18948),0.66402245,- Fix crash when scheduling a uv loop.,
5219,"build: clean up scripts folder, move release scripts, move zip manifest logic (#18945)",0.65848535,chore: update release scripts for cleanup. #16136 ,
5220,fix: make isDarkMode correctly detect dark mode in the auto setting on catalina (#18949),0.8202828,systemPreferences.isDarkMode() now correctly detects dark mode on macOS Catalina. #18959,
5221,Bump v7.0.0-nightly.20190624,0.75549096,- Bump version number to 1.0.0.,
5222,Bump v7.0.0-nightly.20190623,0.7545254,- Bump version number to 1.0.0.,
5223,build: remove scripts in the tools dir that are unused (#18944),0.6094308,chore: remove unused module. #15924 ,
5224,Bump v7.0.0-nightly.20190622,0.75799,- Bump version number to 1.0.0.,
5225,docs: fix spelling and grammar errors (#18910),0.8087343,Fixed spelling errors. #21915,
5226,chore: account for remotes in branch parsing (#18930),0.64975,  remote objects or functions. #7980,
5227,fix: sanitize invalid custom protocol headers (#18854),0.73397225,Fixed setting content-type header with charset breaking protocol APIs. #20538,
5228,Bump v7.0.0-nightly.20190621,0.7586637,- Bump version number to 1.0.0.,
5229,chore: fix branch trimming for blast-off releases (#18907),0.5814768,chore: improve granular release cleanup (backport: 4-0-x). #15905 ,
5230,chore: remove unneeded require (#18863),0.6849227,chore: remove unused module. #15924 ,
5231,refactor: make savePath a property on DownloadItem (#18677),0.88098466,Converted savePath accessor to a property on DownloadItem instances. #18677,
5232,spec: de-flake ses.protocol test (#18884),0.5895484,Fixed unicode test. #11774,
5233,Bump v7.0.0-nightly.20190620,0.76015425,- Bump version number to 1.0.0.,
5234,fix: typo in comment (#18899),0.60481775,Fixed spelling errors. #21915,
5235,feat: sandbox renderer processes for cross-origin frames (#18650),0.80145323,Renderer processes hosting cross-origin frames are now sandboxed unless the parent BrowserWindow enables nodeIntegrationInSubFrames. #18650,
5236,fix: bundle swiftshader and ANGLE libraries on mac (#18870),0.7494384,Fix: package swiftshader binaries. #15745,
5237,build: add an FYI job for building with RUN_AS_NODE disabled (#18890),0.8151622,Fixed building with enable_run_as_node disabled. #18892,
5238,refactor: rename the atom namespace to electron,0.7885313,- Atom Shell is renamed to Electron.,
5239,chore: replace atom path with shell in scripts,0.58700365,"- Add process.versions[""atom-shell""].",
5240,chore: fix linting after shell rename,0.8846537,Fixed linting after shell rename. 56930338,
5241,refactor: replace includes for atom with shell,0.5404822,- Atom Shell is renamed to Electron.,
5242,refactor: rename the atom directory to shell,0.658354,- Atom Shell is renamed to Electron.,
5243,"Revert ""feat: only allow bundled preload scripts (#17308)"" (#18091)",0.6968287,Fixed issue where preload script was executing twice. #12190 ,
5244,spec: move more BrowserWindow specs to main runner (#18610),0.648423,Added simple fullscreen mode to the BrowserWindow API. #10254,
5245,fix: building with enable_run_as_node disabled (#18887),0.89288366,Fixed building with enable_run_as_node disabled. #18892,
5246,Merge pull request #18891 from electron/groundwater-patch-1,0.5194979,"Doing require('electron/*') where * is not one of main, common or renderer no longer resolves with the built-in electron module. #35915 ",
5247,Update CONTRIBUTING.md,0.7231997,Updates,
5248,Update CONTRIBUTING.md,0.7231997,Updates,
5249,Document our existing language policy,0.5395095,Documentation changes: ,
5250,fix: app.getAppPath() returning default-app path for files or directories without package.json (#18763),0.8535306,Fixed app.getAppPath() returning default-app path when running electron app with no package.json or electron app/index.js. Now the directory containing the executed file is returned. #18894,
5251,refactor: auto generate electron_version.h from the version file (#18866),0.7084,Added process.versions.electron to get the electron version in the forked process. #16450,
5252,test: correct fake tests in api-protocol-spec (#18869),0.6139773,Fixed unicode test. #11774,
5253,fix: delay handling occlusion events to avoid flicker on macOS (#18661),0.7469001,Fixed random flicker that occurred on macOS when performing fullscreen or workspace transitions. #18885,
5254,build: add basic linting for the patches folder to ensure that .patches match the state on disk (#18615),0.5870166,build: store the patches config in a json file. #15572 ,
5255,chore: roll node to fix http2 memory leak (#18868),0.84083873,Backported a Node.js patch that fixes an http/2 memory leak:. #18882,
5256,Bump v7.0.0-nightly.20190619,0.7548457,- Bump version number to 1.0.0.,
5257,refactor: piggy-back on ELECTRON_BROWSER_SANDBOX_LOAD to get content scripts (#18823),0.62027127,Added warning that preload scripts will be sandboxed by default beginning in Electron 20. #33203,
5258,ci: add a space at the end of NINJA_STATUS (#18871),0.5715002,Default margin has been added in the code. #36073 (Also in 21),
5259,chore: add ability to log native deprecation warnings (#18681),0.6159028,"Improved removeRemoteListenersAndLogWarning. #12975, #12998",
5260,build: add env var to allow easily triggering a 3way patch (#18448),0.6541879,fix: enable NODE_OPTIONS env var. #15259 ,
5261,build: enforce frozen lockfile on the lint stage (#18867),0.6009375,Fixed a crash on file lock verification. #8679,
5262,chore: remove unused enum (#18848),0.716834,chore: remove unused module. #15924 ,
5263,fix: extra space in security warning message causing list misalignment (#18815),0.6439565,"Bug fixed for registering protocol in windows which used to set invalid command if the execution path included space. #32328 (Also in 15, 16, 17)",
5264,Bump v7.0.0-nightly.20190618,0.75294745,- Bump version number to 1.0.0.,
5265,chore: fix current branch fetch on master (#18844),0.63127923,chore: fix tag cleanup. #16355 ,
5266,refactor: auto generate Info.plist to avoid bumping during releases (#18849),0.6388534,Added before-quit-for-update event to autoUpdater. #12619,
5267,feat: add security warning for remote module with remote content (#18822),0.96209747,Added security warning for remote module with remote content. #18822,
5268,refactor: replace atom_version and friends with electron_version (#18847),0.66303396,Added support for rebuild of native modules for unreleased electron. #12217 ,
5269,refactor: use async invoke to get webPreferences in security-warnings.ts (#18821),0.61479425,- Add httpreferrer attribute for ,
5270,feat: add removeInsertedCSS (#16579),0.8240234,Added removeInsertedCSS() to webFrame / webContents / . #16579,
5271,feat: make async webContents /  methods return a Promise (#18792),0.90535045,All async webContents /  methods now return a Promise. #18792,
5272,build: get current release branch from commit (#18810),0.5482241,"Updates for release process #13642, #13701",
5273,docs: better explain supported release line levels (#18800),0.6439497,Release Notes for v20.3.12,
5274,Bump v7.0.0-nightly.20190616,0.7519539,- Bump version number to 1.0.0.,
5275,fix: use print() function in both Python 2 and Python 3 (#18395),0.61253846,Fixed issues that will halt the runtime on modern Python. #18395,
5276,Bump v7.0.0-nightly.20190615,0.7521389,- Bump version number to 1.0.0.,
5277,UPDATED: electron-windows-store command line (#18499),0.6854087,"Fixed Electron not working on Windows 7 after https://github.com/electron/electron/pull/25076. #25162 (Also in 8, 9, 10, 11)",
5278,docs: add information about persistence and removal of DevTools Extensions (#18519),0.7697638,  to DevTools extensions. #7923,
5279,refactor: re-implement desktop-capturer in TypeScript (#18580),0.7128186,"Switched to a new TypeScript Definitions generator, which generates more precise definitions. If your TypeScript build fails, this is the likely cause. #18103",
5280,build: show ninja stats for testing/debug builds (#18653),0.5198127,"Added the ability to build with GN. #12837, #12884, #12948, #13286, #13005, #12885, #12647, #12882, #12950, #12952, #13124, #13285, #12953 , #12949, #13284, #12957, #12951, 12738",
5281,chore: convert callbacks-registry to ts (#18682),0.61185026,  a callback function. #7612,
5282,docs: reorganize application distribution links in table of contents (#18744),0.65345895,- Move documentations to docs.,
5283,spec: deflake focus handling test (#18809),0.56361175,Fixed unicode test. #11774,
5284,test: unflake some net specs (#18782),0.64065754,test: fix a bunch of flaky tests related to emittedOnce (backport: 4-0-x). #15891 ,
5285,docs: add specific options for MenuItem.role (#18783),0.76157826,- Add role attribute for MenuItem.,
5286,feat: add creationTime / sandboxed / integrityLevel to app.getAppMetrics() (#18718),0.9455298,Added creationTime / sandboxed / integrityLevel to app.getAppMetrics() output. #18718,
5287,build: use yarn to install arm modules (#18779),0.6300952,Fixed native module compilation issues on arm. #35137 ,
5288,fix: use is_valid for cookie url validation (#18770),0.79824615,Added check for invalid URLs upon setting cookies. #18756,
5289,Bump v7.0.0-nightly.20190614,0.75337803,- Bump version number to 1.0.0.,
5290,refactor: pass MessageBox params as a struct (#18732),0.60433877,"Fixed an issue where ipcRenderer.postMessage would throw errors when the transfer argument was not passed. #32433 (Also in 14, 15, 16, 17)",
5291,chore: convert extension apis to TypeScript (#18688),0.7077035,Improved typescript bindings. #14137,
5292,fix: crash in BrowserWindow destructor after win.webContents.destroy() (#18686),0.9919394,fix: crash in BrowserWindow destructor after win.webContents.destroy() (#18686). #18796 ,
5293,refactor: use app.commandLine.getSwitchValue() for parsing user-data-dir (#18764),0.60154665,spec: re-enable app.getAppMetric API. #15123 ,
5294,ci: make console.warn work in tests (#18771),0.63247764,- Fix exception when writing to console in the main process.,
5295,docs: fix invalid optional declaration (#18780),0.622602,Fixed the default of allowRunningInsecureContent as per docs. #12629 ,
5296,fix: HTML fullscreen request for sub frames (#18736),0.75393355,Fixed an issue with fullscreen transitions when HTML fullscreen is requested. #34468 ,
5297,chore: upgrade docs-parser to fix nondeterminism (#18750),0.60279584,docs: deprecation warning for using nativeWindowOpen with nodeIntegration (4-0-x). #15193 ,
5298,feat: provide the frame URL with permission requests and checks (#18757),0.60761166,Added requestingUrl and isMainFrame properties to the permission request and permission check handlers details objects so that apps can check the origin of the requesting frame rather than the root frame. #18773,
5299,Bump v7.0.0-nightly.20190613,0.75417805,- Bump version number to 1.0.0.,
5300,fix: use crashpad on Windows (#18483),0.8014928,Migrated crashReporter to use crashpad on Windows. #18766,
5301,test: add test for invalid cookie url (#18751),0.86941296,Added check for invalid URLs upon setting cookies. #18756,
5302,refactor: mojofy autofill (#18723),0.6542187,refactor: deprecation handling apis. #14615 ,
5303,fix: callback values for printing cancellation and success (#17400),0.7150644,"Improved webContents.print() callback value to distinguish between success, failure, and cancellation. #19000",
5304,fix: correct isDownloadable docs to match impl (#18720),0.6066133,Correct the default of allowRunningInsecureContent as per docs. #12629,
5305,Bump v7.0.0-nightly.20190612,0.7565941,- Bump version number to 1.0.0.,
5306,fix: remove lingering data when notifications autodismiss on Windows 7 (#18401),0.7968316,Fixed bug where notifications with same tag wouldn't show more than once when first notification was auto dismissed in Windows 7. #18740,
5307,feat: migrate protocol module to NetworkService (Part 12) (#18726),0.6400921,Fixed require on network share path. #12282,
5308,fix: move window.open postMessage test to main runner to fix flake (#18735),0.66696936,fix: add microtask runner and fix promise test (backport: 4-0-x). #15171 ,
5309,Bump v7.0.0-nightly.20190611,0.7581565,- Bump version number to 1.0.0.,
5310,feat: migrate protocol module to NetworkService (Part 11) (#18706),0.65671766,"Fixed protocol methods not being accessible via remote.protocol. #27009 (Also in 11, 12)",
5311,chore: fix duplicate error string (#18713),0.6194992,Fixed webContents.print() callback not returning boolean correctly in all cases. #18803,
5312,chore: revert promisified systemPreferences notification methods,0.6971547,Exposed the value of NSNotification.object to subscribers of notifications in systemPreferences. #19110,
5313,Bump v7.0.0-nightly.20190610,0.75780594,- Bump version number to 1.0.0.,
5314,fix: properly pass openExternal activate option (#18657),0.6763905,Added activate option to webContents.openDevTools. #13852,
5315,Bump v7.0.0-nightly.20190609,0.75201774,- Bump version number to 1.0.0.,
5316,Bump v7.0.0-nightly.20190608,0.75220096,- Bump version number to 1.0.0.,
5317,fix: use effectiveAppearance to check dark mode on mojave and above (#18666),0.7113663,Added simplified Mojave dark mode APIs. #14895,
5318,test: move some remote specs to the main runner (#18636),0.6063789,Added documentation on automated testing with a custom driver. #12446,
5319,fix: use isEqual instead of pointer equality to convert NSAppearance (#18665),0.5706074,fix: return pointer instead of pointer's content #16641 ,
5320,Bump v7.0.0-nightly.20190607,0.7520435,- Bump version number to 1.0.0.,
5321,feat: allow resigning current NSUserActivity (#18659),0.6853119,fix: reset the NSUserNotication handle on dismiss. #17820 ,
5322,ci: allow use of .only in ci testing mode (#18678),0.69093823,Fixed CI test failures. #11944 ,
5323,docs: Add missing document links to docs/readme (#18578),0.6310036,"Fixed an issue with PDF loading on Windows, where metadata was not loading correctly and causing the PDF to load as a blank page. #29830 (Also in 14)",
5324,Bump v7.0.0-nightly.20190606,0.7544132,- Bump version number to 1.0.0.,
5325,feat: promisify systemPreferences notification methods (#18631),0.71336055,Support for additional notification actions #11647,
5326,chore: remove mips64el patches as they've largely been upstreamed (#18628),0.6852366,"Removed unneeded --turbo-profiling-input argument from mksnapshot_args for Linux mksnapshot zips. #36531 (Also in 22, 23)",
5327,build: unify YARN_VERSION variable usage and ensure CI uses yarn not npm (#18607),0.48813367,build: make pyyaml an optional dependency. #15566 ,
5328,fix: reject the executeJavaScript promise when it fails to execute the script (#18635),0.86916995,".executeJavaScript will never leave a Promise dangling now, scripts that fail to execute will correctly be rejected. #18714",
5329,chore: Remove AtomResourceDispatcherHostDelegate (#18623),0.69904995,chore: remove unused module. #15924 ,
5330,refactor: use the URL api to resolve urls in window setup (#18611),0.71384126,Fixed an issue where some BrowserWindows opened from new links wouldn't properly load URLs. #34189 ,
5331,ci: fix issues downloading from CircleCI (#18652),0.601485,  DownloadItem instances. #8678,
5332,ci: add windows zip manifest checking (#18629),0.5853412,Added Windows on Arm node header files to checksum file. #20261,
5333,Bump v7.0.0-nightly.20190605,0.7523397,- Bump version number to 1.0.0.,
5334,refactor: convert browser window state fns to props (#18618),0.66361934,- Restore window state when calling BrowserWindow.show.,
5335,chore: bump chromium to bd6aad6a4b37dad7aae42fec349e9 (master) (#18626),0.77071214," | Chromium | 76.0.3809.146         | 78.0.3905.1       | 77, 78",
5336,fix: ensure correct ordering of sendSync w.r.t. send (#18630),0.5783392,Fixed behavior of 302/303/307 redirect responses in the protocol module. #26297 ,
5337,refactor: simplify content script injection (#18532),0.588119,Injected chrome extensions that have content scripts with a . in the pattern field now treat it as a raw . instead of a wildcard. #17593,
5338,docs: ensure that optionality matches between documented params and signatures (#18613),0.53488207,"docs: fix the ""second-instance"" event handler signature in the docs. #15548 ",
5339,refactor: use ipcRenderer.invoke / ipcMain.handle in default-app (#18581),0.75981283,Added ipcRenderer.invoke() and ipcMain.handle() for asynchronous request/response-style IPC. #18449,
5340,Bump v7.0.0-nightly.20190604,0.7513764,- Bump version number to 1.0.0.,
5341,chore: bump chromium to 2a7aff41ce73adc0eeee67d364989 (master) (#18505),0.79240406,Chromium v83.0.4103.50,
5342,doc: change pyobjc link in  macos build instruction (#18471),0.550923,Added needed .bin files for v8_context_generator. #15713,
5343,refactor: mojofy zoom api (#18608),0.6804564,- Fix zoom level of devtools not remembered.,
5344,refactor: remove electron.asar and embed JS in binary (#18577),0.584494,The electron.asar file no longer exists. Any packaging scripts that depend on its existence should be updated. #18577,
5345,test: move some BrowserWindow specs to the main runner (#18551),0.68403417,Mark browser window affinity as experimental. #13295 ,
5346,refactor: remove menu-will-close / setTimeout workaround (#18582),0.6825009,"- Add quit, togglefullscreen roles to MenuItem. #6154 #6166",
5347,build: bring in a later compiler for Windows on Arm (#18591),0.7690604,Added experimental support for building for Windows on Arm. #18625,
5348,fix: lost window.opener after cross-origin navigation (#18173),0.91968024,Fixed window.opener null after cross-origin navigation. #18624,
5349,refactor: lazily hook into child_process in asar_init (#18576),0.6897396,Fixed support async child process methods without callback in asar. #15927,
5350,docs: Fix incorrect dialog docs (#18227),0.7303323,"Fixed an issue that the alert() dialog title is corrupted. #32470 (Also in 14, 15, 17)",
5351,build: strip swiftshader binaries (#18588),0.7989069,Fix: package swiftshader binaries. #15745,
5352,docs: update community Slack URL to point to Discourse invite thread (#18222),0.60656667,Updated community discussions link in default Electron menu. #28458 (Also in 13),
5353,docs: Update breaking changes on webFrame.setSpellCheckProvider (#17915),0.75375724,Fixed webFrame.setSpellCheckProvider memory leak. #16448,
5354,refactor: lazy load child_process in the crash-reporter module (#18574),0.6916049,  new process.crashReporter.start API. See the crashReporter module docs,
5355,fix: don't export private V8 symbols that can cause native node modules to crash (#18281),0.6998468,fix: update node for patch that allows native modules built on < node 10. #15073 ,
5356,Update gen-filenames.js to generate posix paths (#18488),0.52458006,- Fix dialog.showOpenDialog() replacing extensions of filenames ending with .*.gz. #6305,
5357,build: install python-dbusmock via pip for a Docker container (#18589),0.56541586,- Fix --remote-debugging-port.,
5358,build: remove Vulkan mock ICD (#18546),0.7518068,"Removed Vulkan mock ICD from electron.zip, which is only meant to be used for Chromium development. #18596",
5359,refactor: mojofy draggable regions (#18536),0.7145622,Fixed non-draggable regions. #12327,
5360,refactor: make autoHideMenuBar a property on BrowserWindows (#18555),0.89767045,Converted autoHideMenuBar to a property on BrowserWindow instances. #18555,
5361,Bump v7.0.0-nightly.20190603,0.74780774,- Bump version number to 1.0.0.,
5362,perf: lazily create the anchor tag used for URL resolving (#18571),0.62323475,- Fix close event of WebContents and  tag not working.,
5363,refactor: lazy load V8 module in browser/init (#18575),0.62542033,Backported the fix to a heap-use-after-free in content::WebContentsImpl::SetNotWaitingForResponse. #25893 ,
5364,refactor: bundle the browser and renderer process electron code (#18553),0.84573376,  renderer process referencing browser process Electron modules. #8766,
5365,Bump v7.0.0-nightly.20190602,0.752885,- Bump version number to 1.0.0.,
5366,chore: fix logging to stderr (#18537),0.6911927,Fixed an issue where some logging would double-print. #23689,
5367,Bump v7.0.0-nightly.20190601,0.7536839,- Bump version number to 1.0.0.,
5368,chore: re-enable disabled time ticks dcheck (#18525),0.57501274,Fixed detection of enabled state set by TaskManager. #26538 ,
5369,feat: Add option to conditionally disable site instance patches (#18396),0.6180311,fix: roll node deps for fs event patch. #14864 ,
5370,fix: handle gzipped chrome WebUI resources (#18531),0.71020204,Fixed chrome://media-internals and chrome://webrtc-internals pages not loading. #24063,
5371,chore: remove upstreamed ffmpeg patch (#18524),0.6781941,- Fix the binary of ffmpeg not stripped. #5668,
5372,feat: add ipcRenderer.invoke() (#18449),0.76834047,Added ipcRenderer.invoke() and ipcMain.handle() for asynchronous request/response-style IPC. #18449,
5373,Bump v7.0.0-nightly.20190531,0.7553737,- Bump version number to 1.0.0.,
5374,fix: contractions handling in spellchecker (#18506),0.7420703,Spellcheck providers are now (again) called with contractions and their parts. #18548,
5375,ci: add retries to downloads for arm testing (#18526),0.63425756,Added support for CI testing on arm64 hardware. #12080,
5376,refactor: set appLevelAppearance prop on systemPreferences (#18477),0.83481455,Converted appLevelAppearance to be a property on systemPreferences. #18477,
5377,test: move download-related session specs to main runner (#18508),0.60739547,fix: add microtask runner and fix promise test (backport: 4-0-x). #15171 ,
5378,docs: specify use case for the 'services' role (#18484),0.5363244,See docs for more details,
5379,docs: use | instead of 'or' for docs (#18512),0.56157196,docs: Specify VS 15.4.5 for 3-0-x. #14476 ,
5380,Bump v7.0.0-nightly.20190530,0.7564155,- Bump version number to 1.0.0.,
5381,docs: remove obsolete callback argument from dialog.showOpenDialog() (#18496),0.74407625, * dialog.showOpenDialog() #16973,
5382,feat: add process.getBlinkMemoryInfo() (#17762),0.95776093,Added process.getBlinkMemoryInfo(). #17762,
5383,refactor: nws13n: session.allowNTLMCredentialsForDomains (#18129),0.77543265,"- Add Session.allowNTLMCredentialsForDomains(domains) API, and mark app.allowNTLMCredentialsForDomains(domains) as deprecated. #5638",
5384,feat: enable reporting api (#18255),0.7147408,Enabled the W3C Reporting API. #18255,
5385,test: move beforeunload tests to main runner and fix flake (#18432),0.7003246,fix: add microtask runner and fix promise test (backport: 4-0-x). #15171 ,
5386,chore: remove last instances of base::Bind (#18178),0.6521472,chore: remove unused module. #15924 ,
5387,spec: run nan tests to ensure v8 compat has not broken (#18489),0.6104348,Added support for CI testing on arm64 hardware. #12080,
5388,fix: reverse dialog cancel bool for openDialog (#18492),0.7138095, * dialog.showOpenDialog() #16973,
5389,ci: add check for dist zip file changes (#18446),0.6560004,Strip non-determinism from zip release files. #21756,
5390,Bump v7.0.0-nightly.20190529,0.7558925,- Bump version number to 1.0.0.,
5391,fix: breakpad symbol generation on linux arm (#18490),0.7614149,- Generate breakpad symbols.,
5392,fix: ensure the webContents is not destroyed before communicating (#18467),0.73678476,Security: backported the fix to a heap-use-after-free in content::WebContentsImpl::SetNotWaitingForResponse. #25897 ,
5393,feat: [contentTracing] allow calling stopTracing() with no arguments (#18411),0.87632585,Calling contentTracing.stopTracing() with no arguments is now permitted and has the same behaviour as calling it with an empty string (tracing data will be written to a temporary file). #18411,
5394,test: move several session specs to the main runner (#18433),0.58997524,fix: add microtask runner and fix promise test (backport: 4-0-x). #15171 ,
5395,"fix: don't package mojom{,-lite}.js files in dist.zip (#18444)",0.7218722,Removed inadvertently-included mojom.js files from distribution bundle. #18486,
5396,test: narrow scope of afterEach in remote to tests that need it (#18447),0.6066552,Fixed unicode test. #11774,
5397,chore: bump chromium to 964c4bca8de5c320534d95606c861 (master) (#18440),0.80074847,Chromium 96.0.4664.4,
5398,fix: create missing directories with app.setPath (#18244),0.71370685,Fixed issue where app.setAppLogsPath did not work when you provided a valid path. #21008,
5399,fix: respect minimizable/closable for customButtonsOnHover (#18425),0.88366485,Fixed an issue whereby minimizable and closable weren't respected in customButtonsOnHover mode. #18485,
5400,docs: clarify crash report extra param length (#18386),0.54882604,Emit a warning when setting a crash key name longer than the maximum allowed length. #30742 ,
5401,"Revert ""Bump v7.0.0-nightly.20190528""",0.7608545,- Bump version number to 1.0.0.,
5402,Bump v7.0.0-nightly.20190528,0.7530445,- Bump version number to 1.0.0.,
5403,feat: migrate protocol module to NetworkService (Part 10) (#18464),0.6336405,"Fixed protocol methods not being accessible via remote.protocol. #27009 (Also in 11, 12)",
5404,Bump v7.0.0-nightly.20190527,0.754237,- Bump version number to 1.0.0.,
5405,fix: set nativeWindowOpen when sandboxed (#18273),0.8106855,Fixed a bug where window.opener of a window created with window.open from a sandboxed renderer was null. #15821,
5406,Bump v7.0.0-nightly.20190526,0.7546774,- Bump version number to 1.0.0.,
5407,Bump v7.0.0-nightly.20190525,0.75529486,- Bump version number to 1.0.0.,
5408,Bump v7.0.0-nightly.20190524,0.75719404,- Bump version number to 1.0.0.,
5409,chore: update the npm package to use @electron/get (#18413),0.83338463,Updated the electron npm module to use @electron/get.  The minimum supported node version is now Node 8. #18413,
5410,fix: compile error in netlog (#18443),0.77657074,Fixed an issue where netLog.startLogging and netLog.stopLogging were undefined. #25670 (Also in 10),
