Index,Message,Description
417,Merge branch 'feature/VPNLINUX-134-country' into 'develop',Feature/vpnlinux 134 country See merge request ProtonVPN/linux/linux-app!6
418,Remove unncessary css import,
419,"Users who do not comply with tier requirments, are displayed a prompt to upgrade",
420,Add dummy object so that methods from image factory can be used,
421,Fix login window title typo,
422,Refactor GUI for the latest library refactor which introduces singletons,
423,Create abstract and concrete factories,These factories were created so that objects can be easily created
424,Create GTK button factory,
425,"If country is under maintenance, then the UI wil displays appropriatly","If all servers in a country are under maintenance, then the country will no longer display a button to connect and will instead provide a wrench icon."
426,Feature: Connect to a country,
427,Create new server objects so that they can be easily diplayed for the view,
428,Adapt to new refactored library,
429,Update dependency,
430,"Update UI with scrolled window, add icons and update css",
431,Move flags to appropriate folder,
432,Merge branch 'refactor/VPNLINUX-125-MVVM' into 'develop',Refactor/vpnlinux 125 mvvm See merge request ProtonVPN/linux/linux-app!4
433,Apply suggested changes,
434,Merge branch 'feature/VPNLINUX-138-ci-package-generation' into 'refactor/VPNLINUX-125-MVVM',Feature/vpnlinux 138 ci package generation See merge request ProtonVPN/linux/linux-app!5
435,Remove duplicate rpm group and add missing .gitkeep for folders,
436,Fix debian control issue,
437,Fix rx issues,
438,Add missing init files,
439,Rename source folder name,
440,"Include UI, images and css into manifest",
441,Add Rx package,
442,Remove protonvpn-cli references,
443,Rename test file and update python package name,
444,Update package name,
445,Add CI jobs for testing and packaging,
446,Remove CSS related to Notebook,
447,Update delay time to 3 seconds,
448,Add docstrings and bum version,
449,Removed notebook and added network speed converted,"Since profiles are not going to be initially shipped, there was not need for a GTKNotebook, thus it got removed -A speed converted has been introduced so that it displays the networks speeds as it increases in speeds and correctly converts to appropriate measure"
450,Add GtkNotebook,"Add buttons for future implementation of GUI features such as netshield, killswitch and secure-core."
451,Add background process to update server load,Refactor how background glib process are added and removed. Update UI so that the disconnect button display correct colours.
452,Finish functional dashboard,Still missing notebook for different button and server list
453,Add sidebar flags,
454,Finish login MVVM implementation,
455,Merge branch 'tmp/view-model-example' into 'feature/VPNLINUX-121',MVVM for login screen See merge request ProtonVPN/linux/linux-app!3
456,Remove duplicate methods,
457,Showcase MVVM for login screen,
458,Add logger and rewrite dashboard,
459,Add connection overlay,
460,Add label above entry and display it accordingly,
461,Make window not resizeble,
462,Add icon to error upon login and updated styling,
463,Merge branch 'feature/VPNLINUX-120' into 'develop',Feature/vpnlinux 120 See merge request ProtonVPN/linux/linux-app!2
464,Update version,
465,Move logic to presenter,
466,Update styling,
467,Add working quick connect button,
468,Fix styling,
469,Fix visual glitch,"Whenver a window is dragged, a strange border around the window is created whenevr the window is dragger. This issue can be replicated if the App Window has the property double-buffered set to False and the window has a GTKHeaderBar"
470,Load dashboard with information if user is not connected,
471,Rename elements and apply flake8,
472,Add buttons to open preferences and quit app,
473,Fix styling and flake8 issues,
474,Add menu and quit button,
475,Fix styling and flake8 issues,
476,Add setup.cfg and fix flake8 issues in main.py,
477,Add initial window and styling for dashboard,
478,Move icon,
479,Rename window title to ProtonVPN,
480,Only start thread if button is enabled,
481,Update login UI and styling,
482,Update threading and window management,Dashboard window will be displayed once there is a successfull login and login window will be closed.
483,Merge branch 'feature/VPNLINUX-115-login-screen' into 'develop',Update version See merge request ProtonVPN/linux/linux-app!1
484,Update version,
485,Add spinner,
486,Add gtkrevealer for a better error displaying UX,
487,Display overlay after clicking on login button,
488,Add threading to login button,
489,Attempt to login user,"If login attempt has failed, a top error banner will display the error message."
490,Rename class to LoginView,
491,Implement activate button if there is text in entry,
492,Add error label,
493,Need help button complete,Login button is by default disabled
494,Add possibility to show/hide password,
495,Applied correct css styling and colouring,
496,Ingore pycache folders,
497,Ignore temporary UI files,
498,Remove egg folder,
499,Add gitignore,
500,Initial commit,
