Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
267,Restructure service and ingress to match K8s API (#1071),0.99523515,* Restructure service and ingress to match K8s API (#1071),,1
268,filter out auto-added tolerations,0.6410507,Match specific tolerations to prevent diffs (#978),,0
269,Enable cached RESTMapper,0.5249332,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
270,Fix wrong logo URL (#24),0.54780674,Docs: fix broken links (#1041),Co-authored-by: John Houston jhouston@hashicorp.com,0
271,Add support for kubernetes_service_account,0.8644309,  - kubernetes_service_account,,1
272,Merge pull request #773 from terraform-providers/hpa-v2,0.5804522,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
273,Merge pull request #59 from phamann/b-service-external-traffic-policy,0.5769426,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),,0
274,Fix sometimes deployment is not waited,0.62620497,Fix reported replica count when waiting for Deployment rollout (#998),,0
275,Simplifying the GNUMakefile,0.49797383,Documentation fixes,,0
276,Add PV acc test with new field,0.56892633,* Add data source for Pod and PVC (#786), Include missing computed_attributes value in imported state Fix namespace deletion in acceptance test Disable client-go deprecation warnings in tests,0
277,Fix 1322: allow_volume_expansion fix (#1519),0.6656107,Fix crash when size_limit is not present on empty_dir volume (#983),,0
278,Wait for deployment rollout status (#211),0.70712006,Add wait_for_rollout to kubernetes_deployment resource (#863),,1
279,Merge pull request #815 from dak1n1/20200409,0.5158466,Update Pull Request Lifecycle docs (#1032),,0
280,Removing restart_policy from example,0.5908828,resource/kubernetes_network_policy_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
281,Fix HCL formatting in manifest documentation page (#1706),0.6050339,Documentation fixes,,0
282,Fix type morphing of nested tuples (#1756),0.90750885,Fix type morphing of nested tuples that causes Failed to morph errors (#1756),,1
283,tests: Fix PVC acceptance tests,0.5663972,Update acceptance tests for tfproviderlint (#887),,0
284,Merge pull request #99 from jdwyah/patch-1,0.5558803,resource/kubernetes_mutating_webhook_configuration: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
285,vendor auth plugins (#11),0.47701314,  - kubernetes_validating_webhook_configuration_v1,import,0
286,Add issue pruning features,0.54483473,Documentation fixes,,0
287,Test type-morphing of Map to Map,0.82368916,Fix type-morphing of Map into Map (#1521),,1
288,go get -u github.com/hashicorp/terraform-plugin-sdk@v1.4.1 (#733),0.6589029,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
289,Cleanup after v1.11.4 release,0.5162386,"2.6.0 (October 19, 2021)",,0
290,add configuration for LKE based acceptance test environment (#851),0.6261579,Update acceptance tests for tfproviderlint (#887),test helper for creating ConfigMap resources generic test helper for deleting resources,0
291,go mod vendor,0.4452728,Update all go modules (#1240),,0
292,Merge pull request #105 from ofpiyush/patch-1,0.5174353,Update Pull Request Lifecycle docs (#1032),,0
293,r/deployment - add support for readiness_gate (#949),0.7275819,Add support for readiness_gate on Pod spec (#811),,1
294,Recreate Storage Class on VolumeBindingMode update,0.96502084,Recreate Storage Class on VolumeBindingMode update (#757),,1
295,GKE Tests Append $GITHUB_ENV (#1777),0.76379085,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,1
296,Fix static provider config code block (#771),0.65663195,Fix an issue when provider crashes intermittently in version v2.12.0 (#1762),,0
297,Enable HTTP requests/responses tracing in debug mode (#630),0.98720765,Enable HTTP requests/responses tracing in debug mode (PR #630),,1
298,Merge pull request #32 from terraform-providers/examples,0.5711278,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
299,Add null element case to morph unit test,0.41665718,[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic,,0
300,Merge pull request #124 from terraform-providers/t-gcp-pvc-access-mode,0.5323376,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
301,Make attribute 'rule' optional of validating_webhook_configuration_v1 and mutating_webhook_configuration_v1 (#1628),0.8634145,"Make attribute rule optional of kubernetes_validating_webhook_configuration(_v1) and kubernetes_mutating_webhook_configuration(_v1) (#1618, #1643)",,1
302,Sdk lints (#2062),0.5406122,Resource kubernetes_labels (#692),,0
303,Add support for local PVs (#267),0.6609441,* Add data source for Pod and PVC (#786),,0
304,resource/kubernetes_persistent_volume: Use correct operation when updating persistent_volume_source,0.6987837,  - kubernetes_persistent_volume_claim,,0
305,Update kubernetes provider,0.7095282,Update kubernetes dependencies (#1574),,1
306,Merge pull request #165 from terraform-providers/doc-fix,0.65393627,Update terraform-plugin-go and terraform-plugin-sdk (#1551),* a mutating webhook which adds an annotation to any object * Terraform configuration to build and deploy the webhook,0
307,Add support for ValidatingWebhookConfiguration (#806),0.8771369,Add validations to validating_webhook_configuration (#1279),,1
308,Fix import and some tests,0.6343822,Fix import ID syntax in manifest import docs,This exposes the field manager options available via kubectl by adding a field_manager block that allows the user to change the field manager name and force conflicts equivalent to --field-manager and --force-conflicts.,0
309,Refine affinity definition,0.50922096,Fix annotation diffs on affinity tests (#993), Add timeouts block to kubernetes_manifest  This commit adds a timeouts block to the kubernetes_manifest resource to give parity with resources implemented with the SDK. See here: https://www.terraform.io/docs/extend/resources/retries-and-customizable-timeouts.html Co-authored-by: Alex Somesan alex.somesan@gmail.com,0
310,Add validators for kubernetes_service schema (#1273),0.768536,Add validations to service (#1273),,1
311,Docs: fix broken links (#1041),1.0,Docs: fix broken links (#1041),,1
312,set option to cascade delete job resources (#635),0.9646659,Set option to cascade delete job resources (#534 / PR #635),,1
313,Go 1.12.x in Travis,0.43702686,Update all go modules (#1240),,0
314,Add run_as_group to container security contexts attributes (#414),0.56105125,Add a new attribute seccomp_profile to pod and container spec (#1617),,0
315,Fix another test config,0.56513554,Refactor client config initialization and fix in-cluster config (#679) (#497),,0
316,Update staleness check,0.5368229,health_check_port_node should force replacement (#986),Co-authored-by: John Houston jrhouston@users.noreply.github.com,0
317,Simplify DefaultFunc to just Default (#379),0.49017602,* Update docs to reflect new schema for load_balancer_ingress (#1123),Co-authored-by: John Houston jrhouston@users.noreply.github.com,0
318,Adding back the GNUmakefile test-compile step,0.48000377,"Add a new optional attribute grpc to pod.spec.container.liveness_probe, pod.spec.container.readiness_probe, and pod.spec.container.startup_probe. That affects all resources and data sources that use mentioned pod.spec.container probes directly or as a template. [GH-1915]",,0
319,CI checks for docs website (registry migration) (#989),0.98805237,CI checks for docs website (registry migration) (#953),,1
320,Fix website linter issues,0.6425319,Docs: fix broken links (#1041),,0
321,Add terraform version to EKS acceptance tests action,0.6419146,* Update Terraform SDK to v2 (#1027) ,,0
322,Update FAQ.md (#1599),0.66989136,"Update documentation and correct some errors (#1622, #1628, #1657, #1681)",,0
323,Allow network policy with all namespaces selector ingress (#312),0.6027055,  - kubernetes_network_policy,,0
324,Fix deployment acc tests (#228),0.6429703,Fix reported replica count when waiting for Deployment rollout (#998),,0
325,Document minikube settings,0.5396564,Fix docs formatting for kubernetes_secret (#1434),,0
326,add projected volumes in pod_spec (#907),0.99719197,Add projected volumes in pod_spec (#907),,1
327,Add documentation for kubernetes_deployment resource (#194),0.8397609,Add kubernetes_resource data source (#1548),,1
328,r/pod+replication_controller: Add validation for file mode bits,0.53126913,Add validations to container PodSpec (#1275),,0
329,docs: fix typos ingore and ignote (#1759),0.7108706,Docs: fix typo in getting started guide (#1262),,1
330,Fix annotation diffs on affinity tests (#993),1.0,Fix annotation diffs on affinity tests (#993),This commit adds the kubernetes_manifest resource using terraform-plugin-mux. The resource is implemented as its own provider in the manifest/ directory. This code was copied from https://github.com/hashicorp/terraform-provider-kubernetes-alpha.  Thank you to everyone who contributed to this repository.  Co-authored-by: Alex Somesan alex.somesan@gmail.com Co-authored-by: Stef Forrester dak1n1@users.noreply.github.com Co-authored-by: Andrew Z Allen me@andrewzallen.com Co-authored-by: Maartje Eyskens maartje@eyskens.me Co-authored-by: Marcio Rodrigues marcio.mrg1@gmail.com Co-authored-by: Michael Parker michael@parker.gg Co-authored-by: jan-eat 51903846+jan-eat@users.noreply.github.com Co-authored-by: kevinvermeersch vermeersch.kevin@gmail.com Co-authored-by: Joseph Page josephpage@users.noreply.github.com,1
331,Updating Makefile + Add gitignore,0.5048169,Update all go modules (#1240),,0
332,Merge pull request #527 from bmcstdio/statefulset-allow-zero-replicas,0.53454024,resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],Reference: https://github.com/hashicorp/terraform-provider-kubernetes/labels/waiting-response,0
333,update resources/verbs docs to represent all (#1799),0.51533055,* Update docs to reflect new schema for load_balancer_ingress (#1123),,0
334,r/service - allow updating ClusterIP to ExternalName + NodePort to ClusterIP (#1243),0.6159714,cluster_ip for kubernetes_service should support value None (#1291),,0
335,Do not set default namespace for replication controller and deployment pod templates (#275),0.99999994,Do not set default namespace for replication controller and deployment pod templates (#275),,1
336,Allow max_unavailable and max_surge to be 0,0.53004515,Resource kubernetes_resource_quota: suppress diff for no-op changes (#1251),,0
337,Add PodDisruptionBudget (closes #320) (#338),0.6684723,  - kubernetes_pod_disruption_budget," Revert ""Filter well known labels and annotations (#1253)""  This reverts commit e5b56a9f4266c3365844a8cab517475ccbc5befb.  Allow app.kubernetes.io to be user specified",0
338,Add DaemonSet and ClusterRole resources (#229),0.6866282,Add support for aggregation_rule to cluster_role resource (#911),,0
339,Set service block to optional for webhook configurations (#902),0.9812181,* Set service block to 'optional' for webhook configurations (#902),,1
340,Merge pull request #46 from terraform-providers/b-error-out-on-invalid-id,0.5865253,Fix kubernetes_manifest Terraform version constraint causing error on 0.12/0.13 (#1345),,0
341,Update CHANGELOG for v2.8.0,0.83586645,Generating changelog for release-v2.19.0 from v2.18.1...,,1
342,hacky workaround to let toleration seconds,0.5524359,* Timeouts block on kubernetes_manifest,  cluster_ip for service should support None   Update CHANGELOG for v2.3.1 ,0
343,Fix crash when deferencing nil pointer in v1beta1.IngressRule (#967),1.0,Fix crash when deferencing nil pointer in v1beta1.IngressRule (#967),GitHub HashiBot is being deprecated and this replaces behaviors with equivalent workflows in GitHub Actions. The pull_request_size_labeler behavior will be handled one an upstream enhancement is merged (or if we decide to use a fork with the change).,1
344,Add 'external_traffic_policy' to the kubernete_service datasource docs.,0.7527019,Attribute internal_traffic_policy of kubernetes_service(_v1) (#1683),Fix perpetual diff in some resources https://github.com/hashicorp/terraform-provider-kubernetes/issues/1172,1
345,Update memory's unit,0.5512632,Recreate Storage Class on VolumeBindingMode update (#757),,0
346,Merge pull request #132 from terraform-providers/b-lr-empty-spec,0.57685995,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
347,Merge pull request #463 from terraform-providers/renovate/github.com-hashicorp-vault-1.x,0.5989334,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
348,Fix crash when SizeLimit is empty on EmptyDirVolumeSource (#983),0.8312582,Fix crash when size_limit is not present on empty_dir volume (#983),Fix perpetual diffs introduced in PR https://github.com/hashicorp/terraform-provider-kubernetes/pull/1253,1
349,typo (#279),0.60791844,* Fix typo in Job error message (#1048),"  Clean up duplicate lint target in makefile.   Conditionally run docker login in GH actions, to fix PR test failures. ",0
350,docs: Use lower casing for labels,0.6007761,Filter well known labels and annotations (#1253),"In case where we're dealing with secrets that contain, for instance, SSL certificates in PFX format - binary value of the secret becomes corrupted on retrieval. This additional attribute encodes only the values in base64, allowing us to consume binary data as is.",0
351,Experiment with handling empty blocks,0.58389246,Add support for size_limit for empty_dir block (#912), Migrate tests to actions  Co-authored-by: Stef Forrester dak1n1@users.noreply.github.com,0
352,Acceptance test for CRD with explicit metadata in openAPIV3Schema,0.5413649,Update acceptance tests for tfproviderlint (#887),,0
353,Add kubernetes_secret datasource to docs sidebar. (#298),0.76719135,Add kubernetes_resource data source (#1548),,1
354,Ensure resources are created after cluster API becomes available (#1233),0.68059576,Add support for aggregation_rule to cluster_role resource (#911),  add validations   pod impot tests   pod impot tests ,0
355,Change resources requests and limits to TypeMap  (#1065),0.9946417,* Change resources requests and limits to TypeMap (#1065),,1
356,Cleanup after v1.11.0 release,0.5164015,"2.6.0 (October 19, 2021)",,0
357,Prepare release 2.0.2,0.6589914,"2.8.0 (February 09, 2022)",Also added import tests for this resource,0
358,Correct formatting in examples (#1874),0.45368037,"* Revert ""Filter well known labels and annotations"" (#1298)",Co-authored-by: John Houston jrhouston@users.noreply.github.com,0
359,Update k8s.io/kubernetes to v1.25.5 (#1978),0.84125745,Update k8s.io/client-go to v12,Allow in-place update to change the Deployment strategy from rolling to recreate.,1
360,Fix documentation example for field_manager block (#1410),1.0,Fix documentation example for field_manager block (#1410),"In order to avoid provider configuration issues associated with a single-apply create, use two applies, and use the AWS provider rather than the EKS cluster module.",1
361,Update/add references to ExternalTrafficPolicy in structure_service_spec,0.6230633,Add a new optional attribute fs_group_change_policy to pod.spec.security_context. That affects all resources and data sources that use pod.spec directly or as a template. [GH-1892],,0
362,change name validator to DNS1123 subdomain,0.62279975,Updated host_alias property name to host_aliases (PR #670),Co-authored-by: John Houston jrhouston@users.noreply.github.com,0
363,add upgrade test for daemonset (#1064),0.9919968,* Add upgrade test for daemonset (#1064),,1
364,Add type to volume hostPath (closes #358) (#553),0.64108086,Add support for volume mode (#939),,0
365,docs/kubernetes: Fix sidebar highlighting (#14829),0.55199164,Fix docs formatting for kubernetes_secret (#1434),,0
366,Align validation of names of Role and ClusterRole to K8s (#551),0.64278793,Fix not handling multiple cluster_role_selectors of kubernetes_cluster_role(_v1) (#1360),,0
367,Merge pull request #464 from terraform-providers/renovate/github.com-imdario-mergo-0.x,0.5926995,Update terraform-plugin-go and terraform-plugin-sdk (#1551),"In order to avoid provider configuration issues associated with a single-apply create, use two applies, and use the AWS provider rather than the EKS module.",0
368,Make attribute 'ingress_class_name' of resource 'kubernetes_ingress_v1' computed (#1947),0.8889692,resource/kubernetes_ingress_v1: make the attribute spec.ingress_class_name computed [GH-1947],,1
369,Change topology_key to required attribute (#1743),0.71226746,Attribute topology_key of kubernetes_deployment(_v1) marked as Required (#1736),Update links to Kubernetes docs and examples.,1
370,v1.13.1,0.7334733,"2.8.0 (February 09, 2022)",Allow updating configuration to support any Service type:   Remove ClusterIP when updating configuration to ExternalName type.   Remove spec.ports[0].nodePorts when updating to ClusterIP type.   Co-authored-by: Stef Forrester dak1n1@users.noreply.github.com,1
371,apply validations to operator rather than key,0.5464978,Add validations to service (#1273),"Update all dependencies. Also, remove tools.go, which was used in the makefile for package installation. This is no longer needed as of Go version 1.16. https://tip.golang.org/doc/go1.16#go-command",0
372,Fix link to storage class parameters,0.65674543,  - kubernetes_storage_class,,0
373,vendor: Re-vendor google provider (after provider split),0.40169206,Attribute ignore_labels of provider (#746),"Only filter out specific tolerations, to keep them from being added to state. This fixes a bug where user-specified tolerations were unable to save to state.",0
374,Register GCP auth plugin,0.4927542,r/kubernetes_service: make spec.port block optional [GH-1856],,0
375,Merge pull request #55 from terraform-providers/docs-storage-class-hcl,0.5636424,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
376,Add build matrix for multiple k8s versions,0.46023583,* Restructure service and ingress to match K8s API (#1071),,0
377,Update CHANGELOG.md for v2.5.1,0.8113781,Generating changelog for release-v2.19.0 from v2.18.1...,"  Ensure resources are created after cluster API becomes available   Let module generate kubeconfig, since they use the exec plugin now ",1
378,Update FAQ.md,0.6466,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,  Add binary_data attribute to kubernetes_secret   Make data a computed field ,0
379,Add HashiCorp copyright headers config (#1984),0.5239178,Add resource CertificateSigningRequest (#922),"The claim_ref attribute would perpetually show a diff if the PV was created without a claim_ref specified. This is because all PVs gain a claimRef once a PVC binds to it. (This creates the bi-directional link between PV and PVC, and it's done on the Kubernetes API side). To support this, claim_ref is now a Computed attribute, and it will update to show the claimRef once a PVC has bound to the PV, (only now it will do so without creating a diff in terraform). Also added extra tests to catch this case and moved claim_ref's flatteners/expanders/tests into the correct files.",0
380,Release notes for v2.5.0,0.7053464,"2.6.1 (October 22, 2021)",Revert changes to EKS test-infra back to commit 078e9dbf590597893965402c6536902be44f92f9. Add experimental test-infra for testing provider authentication issues.,1
381,Fix CI tests for EKS (#1196),0.6328342,Fix service test leaking ELBs (#947),,0
382,vendor: github.com/hashicorp/terraform/...@v0.11.3,0.63432574,@St0rmingBr4in made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1802,"Made various improvements as part of testing ConflictsWith branch and terraform 0.15-rc1. Added required_provider block to each module, and simplified configurations.",0
383,Fix the issue when provider crashes after introducing new fields on the provider level (#1764),0.7589548,Fix an issue when provider crashes intermittently in version v2.12.0 (#1762),Add note about the authentication order of precedence when using a kubeconfig file.,1
384,Add divisor to resource_field_ref (#1063),0.9941087,* Add divisor to resource_field_ref (#1063),"Update the helm test, provider aliases, and kubeconfig_path output. Remove kubernetes provider from AKS and GKE.",1
385,[DOC] add persistent_volume_source local,0.62591356,* Add support for CSI volume type in persistent_volume resource (#817),,0
386,Update k8s.io/kube-aggregator commit hash to aa872b0 (#638),0.602593,Update k8s.io/client-go to v12,,0
387,Fix formatting issues,0.6057756,Documentation fixes,  validateTypeStringNullableIntOrPercent should tolerate 100% value   Add unit test for validateTypeStringNullableIntOrPercent   Co-authored-by: John Houston jhouston@hashicorp.com,0
388,Fix Flex persistent volume flattener/expander functions after upgrade of k8s libs to 1.9,0.5892334,resource/kubernetes_storage_class: Fix an issue when changing the value of the attribute allow_volume_expansion does not alter Kubernetes resource. [GH-1519],  Add secret_namespace to volume_source azure_file   Update kubernetes/schema_volume_source.go   Co-authored-by: Stef Forrester dak1n1@users.noreply.github.com,0
389,Merge pull request #23 from terraform-providers/f-svc-data-source,0.55877507,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Log the error returned by CertificateSigningRequests().Create.,0
390,GH workflow changes for annotations acceptance test,0.57896185,Update acceptance tests infrastructure code for GKE and AKE and related GitHub Actions,,0
391,Enhance 'automount_service_account_token' test for Pod and add one for Deployment,0.6836026,* Fix perpetual diff when using Pod resource with automount_service_account_token=true (#1085), kubernetes_cron_job should not force new,0
392,Merge pull request #39 from terraform-providers/docs-not-new-anymore,0.6349106,Update terraform-plugin-go and terraform-plugin-sdk (#1551),  add support for setting the persistent volume claimRef   Adapt to recent test framework changes   Co-authored-by: Alex Somesan alex.somesan@gmail.com,0
393,Merge pull request #16 from terraform-providers/f-expose-failure-reasons,0.58103764,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
394,Update pull_request_template.md,0.8405087,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,,1
395,Merge pull request #389 from musicglue/feature/check-updatability-for-deployment-env,0.5033311,Updates to CONTRIBUTING.md and PULL_REQUESTS.md,This commit simplifies the EKS infrastructure by moving the config map and kubeconfig file generation into the EKS cluster module. It also adds a test for a progressive apply scenario involving file creation.,0
396,Revendor,0.5131632,ENHANCEMENT:,,0
397,Merge pull request #454 from terraform-providers/renovate/github.com-gophercloud-gophercloud-digest,0.57812285,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
398,Skip tests for CSIDriver if cluster version is less than 1.16,0.9956967,* Skip tests for CSIDriver if cluster version is less than 1.16,Test helm provider with the latest change before release.,1
399,Updates to allow switching default branch to main (#1211),0.4914925,Docs - updated all broken and commit-specific Kubernetes links to point to master branch (PR #626),  fix TestAccKubernetesService_generatedName   test helm too ,0
400,Add community note (#862),0.590622,Community Contributors :raised_hands:,Use local provider to catch CI specific errors before they're merged.,0
401,Modify delete operation for namespaces (#1898),0.5912622,* Fix delete/recreate of Jobs when updating mutable fields (#1074),  Ensure test for 961 passes with expected error   comment out  TestAccKubernetesJob_ttl_seconds_after_finished until feature exists   removed superfluous broken test for Endpoints   Removed check for volumes that no longer exist   These were removed in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1096   fix importStateVerify error   fix import errors ,0
402,Add service timeouts docs (#1019),0.9513382,* Add service timeouts docs (#963),The kubeconfig file check seems to cause problems when using local_file to create the kubeconfig in the same apply. Solves https://github.com/hashicorp/terraform-provider-kubernetes/issues/1142,1
403,Bump client-go to v0.21.7,0.7816493,Bump provider SDK to v1.7.0,Replace EKS test-infra with code from example.,1
404,Add app_protocol attribute to kubernetes_service (#1668),0.7879076,Data source and resource attributes app_protocol of kubernetes_service (#1554),,1
405,Update TF versions in GH workflows (#1940),0.5968106,Update acceptance tests for tfproviderlint (#887),Our build system requires Go version 1.16+ for darwin/arm64 builds.,0
406,Add PriorityClass resource (#495),0.6801764,New resource: kubernetes_priority_class (PR #495),,0
407,New resource: Deployment,0.67007196,Resource kubernetes_deployment: allow changing strategy from rolling to recreate (#1255),,0
408,Add mount_propagation to volume mount (#552),0.84095716,Add mount_propagation attribute to container volume mount,,1
409,Fix subcategory for kubernetes_mutating_webhook_configuration_v1,0.88247687,  - kubernetes_mutating_webhook_configuration_v1,,1
410,v1.10.0,0.7311207,"2.6.0 (October 19, 2021)", Wait for Ingress to delete Replace ErrStatus.Code -> errors.IsNotFound,1
411,Update Getting Started to Learn tutorials (#979),0.50094324,Update documentation and correct some errors (#1759),,0
412,Cleanup after v1.5.2 release,0.52812254,"2.6.0 (October 19, 2021)",Co-authored-by: John Homan johnhoman@Johns-MBP.PK5001Z,0
413,Cleanup after v1.5.1 release,0.51765454,"2.6.0 (October 19, 2021)",,0
414,GKE test infra writes kubeconfig file (#259),0.6039789,kubernetes/resource_kubernetes_env.go: add support for initContainers [GH-2067],Version 2.4.3 adds Acceptance Test compatibility with Terraform 0.15.,0
415,Import fixes (#1422),0.71381503,Fix importing kubernetes_manifest resources (#1440),,1
416,Add support for storage_class to PVC,0.7342186,Allow in-place update of PVC's storage request (#957),,1
417,Cleanup after v1.8.1 release,0.5156417,"2.6.0 (October 19, 2021)",,0
418,Remove StateUpgraders from data sources (#1109),0.55401415,* Remove load_config_file attribute from provider block (#1052),,0
419,"Get job resource tests working, disable Updates for now.",0.5552602,Set option to cascade delete job resources (#534 / PR #635),  Read operation should set resource id to null if not found   Add regression test for SetId bug ,0
420,Merge pull request #501 from pdecat/tf012-doc,0.5201818,Update Pull Request Lifecycle docs (#1032),,0
421,README.md: correct provider organization & missing repository name,0.47377127,Add load_config_file = false to documented provider configurations,,0
422,Update vendored k8s client code to go-client v4.0.0 (#80),0.8455055,Update k8s.io/client-go to v12,,1
423,Align import paths to after incorporating kubernetes_manifest from 'github.com/hashicorp/terraform-provider-kubernetes-alpha',0.75255764,Fix importing kubernetes_manifest resources (#1440),,1
424,Change replicas to TypeString for statefulset and deployment (#1079),0.59098697,* Change resources requests and limits to TypeMap (#1065),Update docs to reflect new schema for load_balancer_ingress.,0
425,Copy kubernetes_manifest examples from alpha repository (#1401),0.7163625,Add kubernetes_resource data source (#1548), FIX resources state migration should migrate empty array Update deployment regression test to include empty limits block,1
426,Acceptance test for computed attributes,0.56628,Update acceptance tests for tfproviderlint (#887),Update link to 2.0 upgrade guide.,0
427,Fix the id of storage class when update (#239),0.6707576,Add validations to storage_class (#1276),,0
428,🤖 Update examples (#2044),0.57176304,"Update documentation examples and correct some errors (#1597, #1611, #1612, #1626)",,0
429,Fix crash when multiple match_expression are used in kubernetes_resource_quota (#1658),0.98834157,Fix crash when multiple match_expression are used in kubernetes_resource_quota (#1561),Add some examples of using cloud providers with version 2 of the Kubernetes and Helm providers.,1
430,Merge pull request #802 from terraform-providers/aareet_add_github_actions,0.56740475,Update terraform-plugin-go and terraform-plugin-sdk (#1551),Update docs for 2.0 release.,0
431,Pod Affinity docs,0.6702538,  - kubernetes_pod,,0
432,Add warning for exec plugins using v1alpha1 (#1758),0.5244437,Update documentation and correct some errors (#1759),,0
433,Update image URL (point to master branch),0.55788875,Docs - updated all broken and commit-specific Kubernetes links to point to master branch (PR #626),,0
434,Merge pull request #22 from terraform-providers/f-storage-class,0.56253046,Update terraform-plugin-go and terraform-plugin-sdk (#1551),"The regression tests which run StateUpgraders on the optional resources {} attribute have stopped working. This commit adds the resources {} attribute explicitly to each regression test, which allows the StateUpgrader to run. (This is only needed during acceptance tests, since the StateUpgrader is able to run during a manual terraform refresh or terraform apply). This also removes SelfLink from metadata, since that field is no longer populated as of Kubernetes version 1.20. (Otherwise, acceptance tests fail when running on 1.20).",0
435,Add kubernetes_resource data source (#1548),0.9999999,Add kubernetes_resource data source (#1548),"Remove StateUpgraders from data sources Data sources don't need their own StateUpgraders, since they are able to read data from resources that have had their states upgraded. Add a test to ensure a state-upgraded resource is readable by its corresponding data source.",1
436,Add kubernetes_service data source,0.87344694,Add kubernetes_resource data source (#1548),Create upgrade guide for v2.0.0 and update change log. Co-authored-by: Phil Sautter psautter@hashicorp.com Co-authored-by: Stef Forrester dak1n1@users.noreply.github.com,1
437,Merge pull request #483 from frederik-b/patch-1,0.5216024,resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],Also update EKS test-infra to allow using load balancers with Ingress.,0
438,Update link to Kubernetes blog for reference (#355),0.6943943,Add kubernetes_resource data source (#1548),  Remove deprecated replicationController spec.   Make PodSpec ForceNew more explicit.   Add make target for regression upgrade tests.   Standardize image versions used in acceptance tests   to minimize docker pulls from dockerhub.   Ensure init container is always updatable.   Ensure mutable JobSpec fields are updatable.   Co-authored-by: Ilia Lazebnik Ilia.lazebnik@gmail.com Co-authored-by: Patrick Decat pdecat@gmail.com,0
439,kubernetes_manifest: fix waiter crash when conditions are not present (#2008),0.71252203,kubernetes_manifest: fix crash when waiting on conditions that are not yet present [GH-2008], Remove load_config_file and support for KUBECONFIG environment variable Change config_path -> config_paths Support config_path and config_paths Fix crash in kubernetes_job waiter  Co-authored-by: Stef Forrester dak1n1@users.noreply.github.com,1
440,Update FAQ.md (#1991),0.53644973,"Update documentation and correct some errors (#1706, #1708)","To avoid perpetual diff when using automount_service_account_token=true, skip adding the service account's volume to state.",0
441,Fix Deployment acceptance tests (#248),0.6827481,Update acceptance tests for tfproviderlint (#887),,0
442,Skip TestProvider_configure test when TF_ACC is set (#314),0.7494012,Update acceptance tests for tfproviderlint (#887),"  Add StateUpgrader for kubernetes_deployment   Add StateUpgraders for pod, job, cronjob, daemonset, statefulset ",1
443,Add allow_privilege_escalation to container security contexts attributes (#249),0.54302454,Add a new attribute seccomp_profile to pod and container spec (#1617),,0
444,Autodetect K8s version on AKS for test infra.,0.4765603,Refactor Typhoon test configuration to allow selection of Kubernetes version (#992),  Create question.md   Add a request for Kubernetes version ,0
445,Fix broken links in kubernetes_cron_job README (#572),0.7126787,* Fix kubernetes_cron_job ForceNew when modifying job_template (#1212),,1
446,add validations (#1279),0.85502124,Add validations to service (#1273), Change replicas to TypeString for statefulset and deployment Fix metadata bug in statefulset,1
447,vendor: github.com/terraform-providers/terraform-provider-google/...@v1.2.0,0.5733346,@dgnemo made their contribution in https://github.com/hashicorp/terraform-provider-kubernetes/pull/1915,Signed-off-by: Christian Niehoff mail@christian-niehoff.com,0
448,Configure travis for repo migration (#879),0.49549714,Improve docs for configuring the provider (#1132),,0
449,v2.15.0 (#1887),0.7283595,"2.6.1 (October 22, 2021)",,1
450,Update CHANGELOG.md file for release v2.13.0 (#1810),0.8069332,Generating changelog for release-v2.19.0 from v2.18.1...,Signed-off-by: Dan Vulpe dvulpe@gmail.com,1
451,Update Terraform Plugin SDK (#1161),0.88559985,* Update Terraform SDK to v2 (#1027) ,,1
452,Update CHANGELOG.md for v1.7.0,0.7860426,Generating changelog for release-v2.19.0 from v2.18.1..., Add divisor to resource_field_ref  Add divisor field to resource_field_ref. Add acceptance tests for resource_field_ref. This is a cherry-pick of https://github.com/hashicorp/terraform-provider-kubernetes/pull/538   Update wait_for logic to wait until Deployment pods are Ready   Fix permissions error in Deployment acceptance test   Co-authored-by: Joshua Hoblitt josh@hoblitt.com,1
