Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
2807,"internal/cli: a bit more copy, minor variable changes",0.559568,cli/main: Add -version flag for CLI version [GH-1049],,0
2808,Bump ini from 1.3.5 to 1.3.8 in /ui/lib/grpc-web,0.5430397,cli/upgrade: Update the OCI URL for the bootstrap runner profile during server upgrade [GH-4175],,0
2809,deployment and release tags naming,0.5755807,The release configuration can use artifact.* and deploy.* to access metadata.,runner: static runners accept multiple jobs in parallel,0
2810,sdk: history working across plugins,0.6708718,plugins: Fix detecting an older version of the plugin SDK in use [GH-1450],Bug fix: Patch k8s stop task to only delete the job if it had pending pods,0
2811,Merge pull request #1912 from hashicorp/ui/de-lint-config,0.51803917,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",,0
2812,restore the probeBlob block that checks for entrypoint,0.51492697,entrypoint: Fix issue injecting waypoint-entrypoint multiple times [GH-2447],,0
2813,internal/cli: update to use new core APIs,0.6536516,cli/main: Add -version flag for CLI version [GH-1049],,0
2814,ui: de-lint notification/index.ts,0.58077025,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],,0
2815,go fmt serverinstall/k8s,0.765065,serverinstall/k8s: Allow using k8s context [GH-1028],"This modifies internal/runner to support accepting multiple jobs in parallel. Not much work here since we always designed the runner struct from the beginning to support this so there are no data races. This modifies internal/cli so that runners in non-ODR run in parallel mode by default. ODR doesn't make sense to have any parallelism since they always run exactly one job. Non-ODR runners typically ONLY launch ODR tasks, which are highly IO-bound, so we default to a multiple above CPU count for concurrency. This is a necessary pre-requisite for pipelines since they'll likely perform blocking jobs on the static runners to ""watch"" tasks. Today, tasks are launched and stopped, but not watched so this is not an issue.",1
2816,Disable fake proto test,0.40658462,plugin/aws-ecs: Fix panic when specifying a sidecar without a health check [GH-2098],,0
2817,Added reminder for directory to be in,0.46776673,cli/context: Fix possible error when listing contexts if a non-Waypoint context file exists in the context directory. [GH-4257],,0
2818,Merge pull request #51 from hashicorp/f-better-cancel,0.443382,existing server image is hashicorp/waypoint:latest [GH-3820],Co-authored-by: Jamie White jamie@jgwhite.co.uk,0
2819,Change signature to catch all uses of Validate() and cleanup usage pattern,0.41839275,plugin/docker: fix issue with authenticating with registries when using,,0
2820,internal/runner: tests use new API,0.58873665,"runner: Adds ondemand runners, single job runner processes launched via the task API [GH-2056]",,0
2821,Merge pull request #3480 from hashicorp/docs/remove-req-auto-approve,0.5116168,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
2822,Fixup CLI doc strings,0.63044864,cli: Fix issue where the CLI would exit with no error or action taken if a local,,0
2823,Set a default server image in serverinstall,0.60729134,cli/install: Set image pull policy configuration on Helm installation of Waypoint server and runner [GH-3948],Fixes #2869,0
2824,Installs -> install.,0.41595796,cli: Fix order of CLI outputs during install [GH-3729],,0
2825,core/runner: Add docker runner uninstall implementation,0.7953576,cli: New runner install and runner uninstall commands to install/uninstall Waypoint runners to a specified platform [GH-3335],,1
2826,Update glossary.mdx,0.4441396,"0.3.0 (April 08, 2021)",website: Add notes on how to use the Docker flow with make,0
2827,Update README to include how to run tests with go locally,0.47090375,plugin/ecs: runner install now creates aws policies to facilitate remotely running StopTask and WatchTask jobs [GH-4296],Allow some state tests to be skipped,0
2828,Update logs command docs.,0.58172554,ui: Ensure logs update correctly when switching between deployments [GH-2901],,0
2829,Update internal/server/singleprocess/state/job.go,0.56650007,serverinstall/ecs: Improve server upgrade process by stopping task and reducing,,0
2830,Remove intro sections as devdot content includes it,0.5015363,plugin/docker: remove intermediate containers on build [GH-667],,0
2831,Merge pull request #4260 from hashicorp/dependabot/npm_and_yarn/website/decode-uri-component-0.2.2,0.48438576,ui: Fix crash when encountering resources without IDs [GH-3929],,0
2832,files: simplify to one path,0.50153136,ui: Logs & Exec Terminals resize smoothly [GH-2890],,0
2833,Merge pull request #1526 from hashicorp/install-tool-mockery,0.543819,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
2834,internal/cli: hostname delete,0.6194991,cli: runner profile delete deletes by name rather than the user-invisible ID. [GH-3803],,0
2835,Exclude a11y audits on a handful of components (temporarily),0.40383863,plugin/aws-ecs: Improve security of ECS tasks by restricting ingress to the ALB [GH-2098],,0
2836,ensure namespace is set,0.5082305,or label sets. This can be used to alter configurations between environments,,0
2837,Update settings link to use tabs navigation,0.57101214,ui: Update UI of builds and releases tab [GH-2852],,0
2838,internal/mapper: handle error results correctly,0.50265515,core: Connected entrypoints for deleted projects now error out properly. [GH-3949],,0
2839,Rename k8s to kind-k8s,0.63051987,plugin/k8s: Use sequence number in k8s deployment name for improved traceability to waypoint deployments. [GH-2296],- update docs - update proto,0
2840,Generate go & swagger clients,0.5286113,ahead of time to execute lifecycle operations on demand through the Waypoint API.,,0
2841,Merge pull request #3256 from hashicorp/ui/code-scanning-34-fix,0.51746947,ui: Fix crash when encountering resources without IDs [GH-3929],,0
2842,Merge pull request #828 from dominikbraun/#823-fix-config-get-raw,0.53294104,plugin/docker: fix issue with remote operations for docker-pull builder [GH-3398],,0
2843,ui: add downcase helper,0.4658692,"plugin/k8s: Introduce a new config option autoscale, which creates a horizontal",,0
2844,website: update exec docs,0.53880024,upgrade: Update ECS server upgrade to respect -ecs-server-image flag when the,,0
2845,Emit info when connecting an exec session,0.46786755,start a trigger via HTTP and stream the job event stream output directly over,,0
2846,"Add helper tests for release, add more descriptive error messages",0.54740036,cli: more informative error messages on install [GH-1004],- run make gen/website-mdx; remove diff from autoformatting,0
2847,Merge pull request #3756 from hashicorp/bug/main/forgot-my-runner-then-server-panic,0.6701114,core: Fix panic where on-demand runner config was nil before starting task [GH-3054],,0
2848,mock versionInfo API,0.55160093,server: Add pagination protobuffs and stubs for pagination in ListProjects [GH-4203],,0
2849,sdk: improve testing,0.54432416,"install/k8s: improve stability of install process by verifying stateful set, waiting for service endpoints, etc. [GH-435]",,0
2850,Merge pull request #28 from hashicorp/f-runner-by-id,0.4831969,core: improve runner job stream error logging [GH-3872],,0
2851,Merge pull request #2346 from hashicorp/feature/reloadable-tls,0.504028,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
2852,Update Status Report job to handle both deployments and releases,0.7400656,core: Auto run a status report after a deployment or release operation rather,Support remote operations for docker-pull,1
2853,Server proto auto-gen,0.4922218,contrib/serverinstall: Automate setup of kind+k8s with metallb [GH-845],,0
2854,Merge pull request #1822 from hashicorp/bug/git-validation,0.5736978,core/api: include commit message in datasource/git response [GH-3457],,0
2855,update golang cimg,0.57826686,* Update Go build version to 1.16.12 per Go security release,,0
2856,ui: de-lint routes/.../config-variables.ts,0.55664444,core: Ensure remote runners have dynamic config sources overrides for,,0
2857,Style updates,0.5712662,ui: Improve design of status row on Build/Deployment/Release detail pages [GH-2036],Co-authored-by: Brian Cain bcain@hashicorp.com,0
2858,Increase log level to info for list pod error,0.56598186,entrypoint: default log level changed to DEBUG [GH-1330],Co-authored-by: Brian Cain bcain@hashicorp.com,0
2859,Adjust timer interval,0.5513022,config: timestamp function allows you to avail the current date and time in your Waypoint configuration. [GH-1255],Co-authored-by: Brian Cain bcain@hashicorp.com,0
2860,ui: upgrade ember-inflector to ^4.0.2,0.46037608,plugin/aws/ecs: Validate memory and cpu values [GH-1872],Co-authored-by: Evan Phoenix evan@hashicorp.com,0
2861,internal/cli: hostname register,0.6874658,cli: Fix incorrect description for hostname list command [GH-1628],,0
2862,contrib/waypoint-local: Add setup scripts for running locally,0.59918404,core: Introduce RunTriggers to Waypoint Server and CLI. Triggers can be configured,,0
2863,"Fix typo, remove unused code",0.40419984,"core: Fix panic if no Use stanza found for given workspace scope on a build,",Fix missing end quotes in configsourcer-vault.mdx,0
2864,Update website/content/docs/waypoint-hcl/variables/artifact.mdx,0.5599997,"plugin/tfc: Fix HCL field, refresh_interval [GH-3524]",,0
2865,add basic pipeline step workspace tests,0.63595194,pipelines: Properly mark a pipeline run as complete [GH-4053],,0
2866,Make empty stanzas look the same,0.32249424,"config: More than one app stanza within a waypoint.hcl file is deprecated, and will be removed in 0.10. Please see https://discuss.hashicorp.com/t/deprecating-projects-or-how-i-learned-to-love-apps/40888 for more information.",,0
2867,Add note about app and name labels for k8s deployment,0.7359185,plugin/k8s: Added Service annotations option to K8S release [GH-1393],,1
2868,add default auth to mirage scenario,0.4291224,"plugin/docker: Add Docker auth support for builder and platform, and add config options for",,0
2869,Include https on the URLs in output,0.63167596,Introduce executing Trigger URL configurations via HTTP. Users can,Feature: Introduce Task to Waypoint core to track On-Demand Runner operations,0
2870,Set health to unknown if canary plugin fails to get Nomad job.,0.68831074,plugin/nomad: Nomad jobspec canary promotion releaser [GH-2938],"This commit moves TaskAck and TaskComplete to not be a required interface func of task, and instead be an unexported func for the job API. These funcs are an implementation detail of how the job API works, so we are moving them into the job API rather than task API.",0
2871,auto-updated internal/server/gen/bindata_ui.go from commit ffd3df49d,0.5486485,plugin/aws/alb: Update ALB Releaser to use new SDK Resource Manager [GH-1648],,0
2872,chore: revert Platform.destroy,0.4821936,core: Project Destroy Introduce a new CLI command project destroy to delete projects in Waypoint and destroy their associated resources [GH-3626],,0
2873,chore: make docker protobuf architecture next int,0.5689913,"builtin/docker: Introduce resources map for configuring cpu, memory on deploy [GH-1116]",,0
2874,Add kaniko based docker build mode,0.71028316,Dockerless builds are still fully supported via Kaniko and on-demand,,1
2875,"ui: support two login methods, invite and token",0.6367422,ui: Update authentication page with new supported waypoint user token command. [GH-2006],,0
2876,internal/cli/install: humanize errors,0.64268005,cli: more informative error messages on install [GH-1004],,0
2877,Update pkg/server/hcerr/user_error.go,0.6179821,"cli/serverinstall/k8s: Fix a problem where deployments would be marked as ""Degraded"", but were actually fine. [GH-2412]",,0
2878,Merge pull request #2018 from hashicorp/update-sdk,0.4547042,existing server image is hashicorp/waypoint:latest [GH-3820],,0
2879,Include which flag to set for empty operation,0.44193816,"cli: Deprecate -remote flag for operations, replace with -local flag [GH-2771]",,0
2880,internal/runner: need to make datadir in working directory,0.6396839,config: Specify configuration (env vars and files) for runners while executing,,0
2881,Always pull on latest server image to ensure latest,0.53302246,existing server image is hashicorp/waypoint:latest [GH-3820],,0
2882,Add unit tests for trigger service func,0.5174715,plugin/aws/ec2: Check Auto Scaling activites for failures or cancellations [GH-1447],,0
2883,ui: add missing key to builds list,0.5169593,did not properly implement a Registry component with AccessInfoFunc() [GH-2532],,0
2884,Remove consent manager button,0.4736596,ui: Update authentication page with new supported waypoint user token command. [GH-2006],"This commit updates the behavior to obtain Task jobs into the state package, so that we can obtain the full job messages by id in a single transation rather than 3 individual calls.",0
2885,sdk: remove unused package,0.5688858,"serverinstall/k8s: Clean up rbac resources on uninstall, and do not error when existing rbac resources are detected during server upgrade. [GH-2654]",,0
2886,auto-updated internal/server/gen/bindata_ui.go from commit 454eec0b,0.59369457,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,0
2887,Fixed logo alignment on authentication screen,0.5345217,ui: Fix edge case issue where users would not be redirected to the authentication screen if no api token was set [GH-2696],This is currently left as a TODO as there is SDK work to make this happen.,0
2888,internal/ceb/execwriter,0.5582123,internal/cli: Fix waypoint exec workspace selection [GH-3226],"Instead of job ids, show the overall Task state, the main operation it was created for, and the time the Task was stopped/completed.",0
2889,start upgrade guide for next release,0.6153334,* Update Go build version to 1.16.12 per Go security release,"This commit updates the Task state object to follow along with its three jobs: Start Task, the Source Job, and Stop Task. As each job executes, the parent Task will track each of its three job states and represent it as its own Task State. As a runner gets to each job in the task, it will make a call to the server to update this state during the life of a Task.",0
2890,ui: shuffle lab routes around a little bit,0.48757696,waypoint job. [GH-3067],This commit adds some simple state to a GetTaskResponse for understanding the current flow represented by the Task Job triple.,0
2891,UI: rename new route to create (#3271),0.48293483,ui: Fixed config variable duplication when renaming [GH-2421],,0
2892,internal/cli: change variables to params,0.5187415,config: Add ability to define internal variables and compose variables together via templating [GH-1382],,0
2893,chore: add changelog entry for #3912,0.5848946,ui: Add label to “follow logs” button [GH-3732],This commit adds some simple state to a GetTaskResponse for understanding the current flow represented by the Task Job triple.,0
2894,Merge pull request #2567 from hashicorp/docs/add-resourcemanager-framework,0.5107833,ui: Fix missing links to resources [GH-3172],"We don't expose a DeleteJob endpoint, so at the moment, let's not expose a DeleteTask endpoint either and let Waypoint core manage task deletion.",0
2895,set default to 30s for runner polling,0.64314604,cli: Set runner poll interval default for runner defined in waypoint.hcl [GH-1690],,0
2896,internal/server/singleprocess: send opened confirmation message on exec,0.5232574,core: force killed waypoint exec sessions won't leave the remote process running [GH-827],,0
2897,rm queue config op,0.5545786,core: Fix panic where on-demand runner config was nil before starting task [GH-3054],,0
2898,ui: max-height for outputs,0.41919607,grpc data limits per request [GH-4271],,0
2899,docs: List items for further reading in Vault use case.,0.44939682,and stored in the job system. [GH-3306],,0
2900,internal/cli: config get/set support -runner for runner config,0.7866107,cli/runnerinstall: The runner profile created by runner install no longer sets,,1
2901,"internal/server: setup guest account, server IDs",0.5903554,and can be configured to sign up and log in users using any OIDC provider,,0
2902,Add test for attempting deletion of non-existent operation.,0.47209316,cli: deployment destroy will now attempt to destroy any known resources for failed,,0
2903,wip! Add missing fields to UI_ListPipelines,0.52400535,core: waypoint job list will now retrieve paginated list of jobs to avoid,,0
2904,build(deps-dev): bump eslint-plugin-prefer-let in /ui,0.55852103,builtin/aws/ecs: Add awslog driver configuration [GH-1089],"This commit implements the CLI commands for listing all on-demand runner tasks, as well as inspecting a single task and all of its Job messages.",0
2905,Clean up template,0.64218676,"template Functions: templatefile, templatedir, and templatestring functions",,0
2906,Implement a status alert banner (#569),0.5765537,cli: fix panic when running status report on app with zero prior deployments [GH-3425],,0
2907,Merge pull request #3705 from hashicorp/ux/config-validate/improve-workspace-scope-default-stage-msg,0.514284,plugin/aws: Add ability to pass IAM policy ARNs for attaching to task role [GH-1935],,0
2908,Merge pull request #1732 from hashicorp/listener-context,0.51275426,builtin/aws/ecs: fix listener deletion on deployment deletion [GH-1087],,0
2909,Merge pull request #4020 from MattSurabian/3817-fmt-check,0.47677952,cli/config-sync: Add operations flags to config sync command. [GH-4143],,0
2910,Update docker and k8s plugins to use the new StatusReport helper func.,0.6870556,plugin/k8s: Add reporting on status of a deployment and release [GH-1547],Upgrading argmapper to v0.2.4,0
2911,Add help text and swicth placeholder to https protocol,0.5013257,cli: server run can now create a non-TLS HTTP listener. This listener,,0
2912,Merge pull request #1542 from hashicorp/ui-mirage-unhandled,0.5288128,ui: Fix crash when encountering resources without IDs [GH-3929],  rename new to create   rename and move tests   rename css ,0
2913,internal/server: BuildList,0.5871297,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",,0
2914,Update ALB Releaser to use Resource Manager,0.86081827,plugin/aws/alb: Update ALB Releaser to use new SDK Resource Manager [GH-1648],,1
2915,internal/runner: slightly more detailed error message,0.7704599,internal/runnerinstall: Fix order of error checking and make error message more specific [GH-3772],,1
2916,cli/main: Add -version flag for CLI version,0.9399466,cli/main: Add -version flag for CLI version [GH-1049],,1
2917,add website doc,0.5305269,plugin/docker: Add support for multi-stage Dockerfile builds [GH-1992],,0
2918,Add CHANGELOG note,0.53953505,ui: Add label to “follow logs” button [GH-3732],,0
2919,Make ODR task status a trace level log for ECS.,0.58809674,cli: Use default log level of debug instead of trace on server install [GH-2325],,0
2920,server: Attempt to complete a job on job event failure,0.57569194,core: runners can tolerate a server outage during job execution and will,,0
2921,internal/server: handle the job config load event,0.62154996,start a trigger via HTTP and stream the job event stream output directly over,  Upgrade ember-simple-auth to 4.2.1   Deduplicate node modules   Update and fix deprecations   Lint   Remove session migration initializer while whe're at it ,0
2922,ui: de-lint <LogStream>,0.618083,cli: Respect the -workspace flag when requesting a logstream for a deployment,Adds paragraph to 'deploy' command docs regarding '-release' flag,0
2923,Use context deadline when checking the alloc health of task groups which are specified for promotion.,0.50899243,core: App status polling will always queue status reports refresh jobs for latest deployment and release if present [GH-2039],,0
2924,moved files around to make importing sense,0.41230422,ui: Logs & Exec Terminals resize smoothly [GH-2890],Co-authored-by: Brian Cain bcain@hashicorp.com,0
2925,build(deps): bump express from 4.17.1 to 4.18.2 in /ui,0.5072631,plugin/aws/ecs: Validate memory and cpu values [GH-1872],Sanitize user input before sending HTTP response,0
2926,auto-updated internal/server/gen/bindata_ui.go from commit a760b9e7,0.5816603,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,add cli output if no runners found for 'list',0
2927,Update UX message to indicate image was pulled.,0.559845,ui: Updated UI of breadcrumbs and UX to include current page [GH-3166],,0
2928,internal/pkg/cert,0.54554576,builtin/k8s: Ensure pod.container.static_environment is applied [GH-3197],,0
2929,better handling for missing frontmatter,0.4784224,ui: Fix header spacing on build/release detail pages [GH-3614],,0
2930,Update ECS runner uninstall.,0.82147574,cli/runnerinstall: Delete EFS file system during ECS runner uninstall. [GH-3944],cli: Show error message if no Waypoint contexts found,1
2931,Merge pull request #2262 from hashicorp/feature/config-cli,0.5235159,install/nomad: Fix connectivity to Waypoint server from the CLI at the end of,,0
2932,Merge pull request #2930 from hashicorp/ui/deployments-limit,0.5698863,ui: Limit number of deployments requested [GH-2930],"Currently, there's no good way for any other project consuming these tests to selectively skip any of them. Maybe there will be as of go 1.19, but until then, this introduces a new ""skipTests"" argument that allows users to pass in test names to skip.",0
2933,update ci env var to circleci's default,0.46857256,config: Input variables (variable) can now use an env key to specify,,0
2934,update the state test to rm the commented lines,0.4769618,cli: Show full command flags when displaying help text for waypoint runner inspect. [GH-4435],"Prior to this commit, if Waypoint had no contexts locally on disk, it would still attempt to load one with an empty name, resulting in an error about a nil context. This commit fixes that by first seeing if any contexts exist at all, or if there's no default, showing a better error message to tell the user what to do about it. Fixes #3243",0
2935,bolt: Fix pre-v0.10.4 config sources.,0.7419927,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,,1
2936,Merge pull request #3699 from hashicorp/b-ecs-runner-install-profile,0.5580541,plugin/aws-ecs: Fix bringing your own alb to ecs deployments. [GH-4457],,0
2937,Use properly built waypoint,0.63552535,available to your Waypoint configuration. ,,0
2938,Merge pull request #4205 from hashicorp/b-gha,0.52999616,request body [GH-2273],ui: guard against prototype pollution,0
2939,internal/server: don't redirect HTTPS if conn is over TLS,0.62908643,ceb: Fix connecting to servers with TLS verification [GH-3167],upgrade platform-cli to resolve vuln in async version,0
2940,internal/runner: Fix race condition around runner shutdown,0.74365103,core: fix issue where runners would fail but not shut down [GH-2571],pkg/server: fix flaky test around buffered data,1
2941,internal/clicontext: update test to also use constant,0.51630557,cli/status: Include a way to refresh project application statuses for deployments and releases with a '-refresh' flag before showing the status view [GH-2081],,0
2942,Split telemetry setup into create and run phases.,0.44001153,pod autoscaler for each deployment. [GH-2309],Addresses https://github.com/hashicorp/waypoint/security/code-scanning/34,0
2943,deployment wip,0.5860615,on the health of deployments or releases. Waypoint surfaces a deployment,"To fix this, we need to retry a connection until we get buffered data. We have to do this because the buffered data is read on connection and immediately queued to send. It is not dependent on the client receiving (though, it'll block due to TCP backpressure if they aren't receiving).",0
2944,funcs: expose all git funcs,0.5204247,config: gitrefpretty no longer requires git to be installed [GH-2371],Document conflict between Waypoint/Nomad entrypoint,0
2945,Fix tracktask -> task in test,0.5293593,core: improve runner job stream error logging [GH-3872],,0
2946,fixing ui partial link,0.65123814,ui: Fix missing links to resources [GH-3172],,0
2947,"remove post install hook, its not working (#265)",0.511296,plugin/netlify: Removed the netlify plugin [GH-1525],,0
2948,cli: Set http port for server addr requests with trigger,0.669848,cli: login subcommand defaults server port to 9701 if it isn't set [GH-2320],Update containerd,0
2949,log why we're rejecting a runner,0.5582189,cli: Output message if no runners are found for 'runner list' [GH-3266],Avoid race condition reading job stream data before it's buffered.,0
2950,add changelog entry,0.5878198,"entrypoint: can change log level using the WAYPOINT_LOG_LEVEL env var, which can also be set with waypoint config [GH-1330]",,0
2951,cloudrun: support DestroyFunc,0.5760623,plugin/google/cloudrun: Add VPC and Cloud SQL config options [GH-1123],,0
2952,nix: update all proto tools,0.5253792,website: many minor improvements were made in our plugin documentation section for this release,docs: Include an additional note about reading a Secret vs ConfigMap,0
2953,Add a test for writing dynamic config as files,0.6347746,config: Add ability to write configuration values as files rather than environment variables. [GH-1395],Bump semver-regex from 3.1.2 to 3.1.3 in /website,0
2954,builtin/aws/ecr: Return an ECR image rather than Docker,0.7763805,plugin/aws-ecr: Output architecture from Docker image input [GH-3046],,1
2955,update docs and reorder flags alphabetically,0.4370123,cli: Print warning and help docs if required flags for upgrade are not included [GH-1372],Bumps semver-regex from 3.1.2 to 3.1.3. - Release notes - Commits  updated-dependencies: - dependency-name: semver-regex   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
2956,Merge pull request #78 from hashicorp/f-destroy,0.5004674,plugin/nomad: destroy works [GH-571],"Thanks Brian, Shirley, and Britt for teh debug swarming!",0
2957,sdk: platform should return deployment,0.5374521,on the health of deployments or releases. Waypoint surfaces a deployment,"It's not immediately obvious in the docs that to read a Kubernetes secret, you must set secret to be true. This commit adds some additional notes at the top level description of the kubernetes dynamic config plugin to explain this.",0
2958,Initial,0.52087903,DEPRECATIONS:,,0
2959,Set label name to app over name,0.57961917,core: add more descriptive text to include app name in waypoint destroy [GH-807],,0
2960,Update go mod,0.65888524,* Update Go build version to 1.16.12 per Go security release,Fix nil pointer dereference,0
2961,Merge pull request #1594 from hashicorp/bug/deploy-list-status,0.5649383,plugin/k8s: fix issue when destroying multiple deployments [GH-3111],,0
2962,website: starting server docs,0.6147897,serverinstall/docker: Start waypoint server container if stopped on install [GH-1009],,0
2963,handle case where there is only one ECS cluster with a given name,0.53933156,plugin/aws-ecs: Allow cpu parameter for to be optional for EC2 clusters [GH-576],,0
2964,Found a couple more with a search,0.3805734,if none exists [GH-3922],,0
2965,ui: generate client,0.6139494,ui: Add ability to create a project from the browser UI [GH-1220],,0
2966,Merge pull request #275 from hashicorp/correcting-succesfully-typos,0.42662078,server: fix issue cleaning up tasks in Kubernetes that completed successfully [GH-3299],docs: Waypoint unification work (dev-portal),0
2967,Add/update deps,0.49824435,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],,0
2968,"Rename ""cookie"" metadata to ""wpcookie""",0.4516781,cli: Add alias for -app and -workspace flags [GH-2700],generate docs for main branch,0
2969,contrib/serverinstall: Automate setup of kind+k8s with metallb,0.9544549,contrib/serverinstall: Automate setup of kind+k8s with metallb [GH-845],,1
2970,Merge pull request #353 from hashicorp/b-buildpack-updates,0.58187413,plugin/pack: Upgrade pack package to fix downloading remote buildpacks [GH-1452],UI: Fix Add variable icon is misaligned,0
2971,internal/server: ServerConfig APIs,0.59617364,server: store platform where server is installed to in server config [GH-1000],Feat/nomad consul vault tokens,0
2972,"Code review: Delete whitespace, align flag name to be consistent",0.5090084,cli: Remove unused flag runner-profile in waypoint project apply [GH-3318],,0
2973,"fix gitops runner config, enable -> enabled",0.72171414,config: gitrefpretty no longer requires git to be installed [GH-2371],internal/cli: Fix waypoint exec workspace selection,1
2974,Merge pull request #4563 from hashicorp/ashleemboyer-patch-1,0.48656607,existing server image is hashicorp/waypoint:latest [GH-3820],"The -workspace flag was not passed to ListDeployments() when running waypoint exec. This resulted in erratic waypoint exec behavior, as any deployment from any workspace became a candidate to execute the given command.",0
2975,ui/mirage: de-lint services/pushed-artifact.ts,0.5503852,with a backend and ui service tag. [GH-2597],,0
2976,Merge pull request #247 from hashicorp/f-glint,0.49578255,existing server image is hashicorp/waypoint:latest [GH-3820],,0
2977,Fix indentation,0.42442518,BUG FIXES:,,0
2978,fix: redirect /home to /,0.4752472,"builtin/docker: Revert #918, ensure HostPort is randomly assigned between container deploys [GH-1189]",Test nil workspace in latest release state req,0
2979,Pacifying the new linter,0.6156899,DEPRECATIONS:,,0
2980,Update website docs for server uninstall/upgrade CLIs,0.6571604,serverinstall/ecs: Improve server upgrade process by stopping task and reducing,,0
2981,More explicit comment,0.44033992,DEPRECATIONS:,,0
2982,internal/config/funcs: selectorlookup,0.7659807,config: New functions selectormatch and selectorlookup for working with," include current page as last breadcrumb removed icons to make more streamlined included breadcrumbs for list views (applications, etc) and operation versions  Co-authored-by: Jamie White jamie@jgwhite.co.uk Co-authored-by: Jamie White jamie@jgwhite.co.uk",1
2983,Fixing test,0.5477328,BUG FIXES:,,0
2984,Merge pull request #4071 from hashicorp/docs/cfg-vault/input-var-example,0.5108237,core/api: include commit message in datasource/git response [GH-3457],Test reading/writing ODR target labels,0
2985,Merge pull request #2025 from hashicorp/ui-git-refs,0.5674362,core/api: include commit message in datasource/git response [GH-3457],"This is documented in the rpc definition - workspace ref can be nil, and in that case it should return the latest in any workspace.",0
2986,Merge pull request #1487 from hashicorp/feature/docker/report-on-status,0.5433099,ui: avoid loading all status reports [GH-2562],require.Equal isn't as magical as it seemed to be.,0
2987,typo: visisted => visited,0.33847225,cli: Add context inspect command to aid in user enjoyment of waypoint contexts. [GH-1458],,0
2988,Add upgrade notice,0.6013498,ui: Update alert copy to reflect change that we are no longer removing project definitively in 0.10.0 [GH-3604],,0
2989,internal/datasource: don't hide git error,0.6878423,config: gitrefpretty no longer requires git to be installed [GH-2371],,0
2990,Merge pull request #3181 from hashicorp/ui/make-gen-ts-2022-04-06,0.46734196,ui: Fix crash when encountering resources without IDs [GH-3929],builtin/nomad/jobspec: fix dropped error,0
2991,builtin/docker: args must not be pointer,0.54797965,plugin/docker: Add support for build args for both docker and img builders [GH-1346],,0
2992,Remove old note about http trigger impl,0.50081784,plugin/aws-ecs: delete ECS ALB listener on destroy [GH-607],"Adds $TESTARGS option to test/boltdbstate step, with doc/example",0
2993,externalize service_workspace,0.643379,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",,0
2994,flix FF radio input styling bug,0.47986418,cli: New waypoint fmt command will autoformat your waypoint.hcl files [GH-1037],chore: add lambda platform config validation - add tests,0
2995,cli/init: Auto-sync pipeline protos from config,0.69839203,cli: Introduce new CLI flag -reattach for waypoint pipeline run which will stream,Prevent the release of a running deployment,0
2996,builtin/k8s/helm: remove old deps,0.6356996,builtin/k8s: Fix ports configurability [GH-1650],,0
2997,internal/appconfig: tests,0.48425946,cli: requires -app flag if config set -scope=app is set [GH-3040],,0
2998,Merge pull request #2606 from hashicorp/ui/0.7-small-changes,0.4657644,existing server image is hashicorp/waypoint:latest [GH-3820],,0
2999,internal/cli: don't use conn if error during accept,0.6082103,cli: Fix issue where the CLI would exit with no error or action taken if a local,,0
3000,internal/serverinstall: docker uninstall will remove runners,0.69718206,cli/runnerinstall: Delete EFS file system during ECS runner uninstall. [GH-3944],,0
3001,Merge pull request #3911 from hashicorp/dependabot/npm_and_yarn/ui/ember-tooltips-3.6.0,0.51724154,ui: Fix crash when encountering resources without IDs [GH-3929],,0
3002,Update ProjectDelete in bolt to delete other resources associated with a project.,0.6339627,core: Project Destroy Introduce a new CLI command project destroy to delete projects in Waypoint and destroy their associated resources [GH-3626],,0
3003,replace env var with link,0.5364516,config: Input variables (variable) can now use an env key to specify,,0
3004,Split status check into two columns,0.49881494,Status Reports: Waypoint now has multiple improvements to support status,,0
3005,Remove special case ignoring data.db,0.44181383,deleted. [GH-4382],,0
3006,internal/server/singleprocess/state: validate and report prune counts per table,0.6195184,core: prune releases which released deployments that are being pruned during,,0
3007,Grouping all the early returns next to each other,0.45586297,artifact.* variable syntax to access metadata from the results of those stages. ,,0
3008,Merge pull request #1604 from hashicorp/server/refactor-poll-queuer,0.51010215,core/api: include commit message in datasource/git response [GH-3457],ui: make gen/ts,0
3009,Include on-demand runner id for config if present,0.7131133,core: Ensure remote runners have dynamic config sources overrides for,,1
