Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
368,change wrap mode to WORD_CHAR,0.3915499,Redesign a large number of dialogs,Currently translated at 81.9% (631 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pa/,0
369,Fixed bug where rotating a photo in fullscreen was not reflected in the events directory page.,0.5327307,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 81.9% (631 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pa/,0
370,Resources.vala: Remove unused constants,0.26327735,Show saved state correctly in the context-menu,Currently translated at 81.9% (631 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pa/,0
371,"Caused 'src/libshotwell.vapi' to be ignored, since it's generated at compile",0.29068822,Avoid a crash when importing videos,Currently translated at 81.2% (626 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pa/,0
372,3344 search toolbar buttons are greyed-out instead of disabled,0.57225025,Fix keyboard activation in tool windows,Currently translated at 91.4% (32 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
373,Fixed an issue where a reflow() wasn't being called when the new EventPage was realized on the screen.  This bug ,0.40805352,Fix a possible crash with invalid date and time info,Currently translated at 91.4% (32 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
374,396: Right-click on crop tool window no longer crashes.  #339: Data directory now ~/.shotwell.  #394: Arrow keys to move next/previous photo in full-window and fullscreen mode.,0.6183904,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fr/,0
375,1346: Removed our custom FStream.vapi now that FileStream supports random access I/O.,0.29958853,Avoid a crash when importing videos,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fr/,0
376,"Background color is not hardcoded anymore, but taken from theme (editing pages have yet to be fixed).",0.42984343,Redesigned Photo Viewer icon,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
377,2914 undo event merges,0.42146504,Fix a possible crash with invalid date and time info,Currently translated at 25.7% (9 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_AU/,0
378,2208: edit->undo is available when there are no actions to undo,0.40856665,Fix keyboard activation in tool windows,Currently translated at 31.4% (11 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/sv/,0
379,SavedSearchDialog: Don't use alignment (#295),0.47835144,Show saved state correctly in the context-menu,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt_BR/,0
380,"Changed toolbar to secondary, modified the placeholder.",0.54122895,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 25.7% (9 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/nn/,0
381,Changed the gexiv2 dependency version in the Makefile to agree with the debian/control file.,0.51787764,* Fix building against latest gexiv2,Currently translated at 94.2% (33 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/nl/,0
382,Removed a duplicate definition argument from the gcc command line.,0.29667288,* Use Gtk.FileChooserNative throughout,Currently translated at 51.4% (18 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/nb/,0
383,Adds the ability to display photo titles during slideshows. Closes #1592.,0.71015906,Show image titles in preview mode,Currently translated at 77.1% (27 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/lt/,1
384,809: Final step of model/view refactoring.  Data objects and their collections are now maintained in the,0.3612318,Redesign a large number of dialogs,Currently translated at 91.4% (32 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/it/,0
385,Add EditorConfig,0.4237622,Fix pasting in comment box,Currently translated at 91.4% (32 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/eo/,0
386,Updated Portuguese (Portgual) translation in trunk.,0.59647655,* Updated translations,Currently translated at 25.7% (9 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_CA/,0
387,2069 list duplicates in camera import dialog,0.5030584,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/de/,0
388,EditingToolWindow: Make user_moved public get (#422),0.4606225,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/de/,0
389,Fixed a bug where the thumbnails were not improved after a repack().,0.4039567,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 45.7% (16 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/da/,0
390,Translated using Weblate (Italian),0.5586937,Translation updates,Currently translated at 25.7% (9 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/bs/,0
391,Enables panning over a photo when it is zoomed using the keyboard arrow keys. Closes #2072.,0.6293591,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 54.2% (19 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/zh_Hant/,0
392,Fix for #3144 - this adds the ability to press Ctrl-F in any area of the app that has the search box to send focus to it.,0.52242184,Fix keyboard activation in tool windows,Currently translated at 45.7% (16 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pl/,0
393,"""make clean"" was leaving behind some detritus in the plugins directory.  Fixed.",0.34887677,* Use Gtk.FileChooserNative throughout,Currently translated at 91.4% (32 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/cs/,0
394,shotwell-video-thumbnailer fails to gen thumbnails: Refs #7258,0.4975601,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 31.4% (11 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/fi/,0
395,appdata: initialize entries for future release,0.4975769,Make sure we show the right apps in the Open In menu,Currently translated at 45.7% (16 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ko/,0
396,Updated rules and changelog files to strip symbols in lauchpad builds; closes #1349.,0.45220834,The list of issues closed by this release can be found here.,Currently translated at 68.5% (24 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/de/,0
397,2234: Rating filtering. Users can filter photo display based on ratings.,0.39787453,Add checkerboard behind semi-transparent photos in grid view,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/es/,0
398,"remove starred icons, remove last of the unused icons",0.5917958,Redesigned app icon,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ca/,0
399,Fixes a translation issue in the Greek translation introduced by my most recent round of translation pulls from Transifex. Special thanks to Joe Bylund for spotting this as I clearly overlooked it when integrating the latest round of translations. Closes #6713.,0.6547408,Translation updates,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt_BR/,0
400,Ports Shotwell to GStreamer 1.0. Closes #6055.,0.49216866,The list of issues closed by this release can be found here.,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
401,"Fixes #4148, changed ""RAW + JPEG"" to read ""RAW+JPEG"" in user-facing strings.",0.37500572,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/tr/,0
402,"Closes #2763, #2793, #2800, and #2582.",0.45524535,The list of issues closed by this release can be found here.,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt/,0
403,"Closes #3659, makes 'does not contain' searches work more like human language.",0.3680002,Redesign a large number of dialogs,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/he/,0
404,Removed gphoto-2.4 support and copied vapi.,0.4289697,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_GB/,0
405,Proposed patch would migrate the welcome pane over to Glade; addresses part of #5173.,0.34789774,Translation updates,Currently translated at 100.0% (35 of 35 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/uk/,0
406,Add translator comments for strftime strings: Refs bgno#716533,0.5665303,Translation updates,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
407,clean up padding and alignment in prefs,0.44413364,Add checkerboard behind semi-transparent photos in grid view,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
408,"Improves visual styling of the new, GTK+ 3-compatible histogram component on Oneiric.",0.5054188,* Use Gtk.FileChooserNative throughout,,0
409,"Fixes compile errors with valac 0.7.4.  Explicitly checks for vala 0.7.3 or above in Makefile for building, ",0.39895958,* Fix building against latest gexiv2,  Release 2.7.1   Update meson.build   Update release.yml   Update screenshot   Update and optimize screenshots   Co-authored-by: Cassidy James Blaede c@ssidyjam.es,0
410,"2431: Memory leak was due to the Thumbnail exposure flag being initialized to the wrong value, leading every Thumbnail to load its thumbnail, thrashing on the cache.",0.3252591,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pt_BR/,0
411,trunk build for daily,0.28690076,* Fix building against latest gexiv2,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pt_BR/,0
412,Make PageWindow class its own file (#167),0.42700264,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
413,Update org.pantheon.photos.appdata.xml.in.,0.5122848,pantheon-photos 0.2.3 is out!,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt_BR/,0
414,Use https instead of http for Flickr publishing (lp:1429519),0.32397246,Avoid a crash when importing videos,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt_BR/,0
415,3966 assertion on default sidebar context menu,0.57496583,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
416,In preparation for 0.2.0.,0.53129375,Photos 2.6.2 is out!,Currently translated at 98.8% (761 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fi/,0
417,"change all shotwell path, config dir and gsettings into pantheon-photos",0.68510866,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
418,Translated using Weblate (Serbian),0.5407638,Translation updates,Currently translated at 97.6% (752 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nb/,0
419,Add flatpak (#591),0.3534646,Add checkerboard behind semi-transparent photos in grid view,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
420,Move close without save dialog to DirectPhotoPage (#408),0.60106814,Add Open In menu to the photo viewer,Currently translated at 97.4% (750 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nb/,0
421,Cleanup some unused structs (#220),0.3167472,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 52.9% (18 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/nb/,0
422,Shotwell 0.15.0pr1,0.44232738,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/de/,0
423,Adds a random slideshow transition. Closes #6275.,0.48109016,Add checkerboard behind semi-transparent photos in grid view,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/zh_Hans/,0
424,Increment version number.,0.44526318,Translation updates,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/es/,0
425,3427 timezone correction for import folder,0.3971185,Avoid a crash when importing videos,Currently translated at 99.8% (769 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/es/,0
426,"Added Arabic, Asturian, Romanian translations. Updated German, Greek, Polish, Russian, Ukrainian translations.",0.6820798,* Updated translations,Currently translated at 99.8% (769 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
427,Updated version number in POT files.,0.44011152,* Updated translations,Currently translated at 99.8% (769 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/es/,0
428,A file was added to the help system.,0.4619101,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/tr/,0
429,"Delete the files instead of trashing them, when emptying the Photos trash.",0.52163374,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/en_GB/,0
430,Now refreshing files & folders during import to workaround #192.  Optimization in CollectionLayout to deal with now having multiple pages with large thumbnail collections.,0.45662624,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ca/,0
431,Make Command Class Gobject-style Constructed (#668),0.4011024,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fr/,0
432,"Resolved bugs #547 (""Crop reticle leaves artifacts in gutter"") and #548 (""Crop reticle can't be gripped if dropped in gutter"")",0.40442926,The list of issues closed by this release can be found here.,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
433,SavedSearchDialog: Use construct block (#444),0.4402308,Show saved state correctly in the context-menu,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/de/,0
434,"Migrates Shotwell's entire codebase, including plugins, to libgee-0.8. Tested with both of the (slightly different) versions of libgee that ship with Quantal and Raring, respectively. Closes #867.",0.3741022,The list of issues closed by this release can be found here.,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/pt/,0
435,Closes #3874 by setting a proper CSS style for the frame in question.,0.39634573,Add checkerboard behind semi-transparent photos in grid view,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/he/,0
436,"2039: I18N ""modified"" suffix for externally editable files.",0.4460491,* Updated translations,Currently translated at 100.0% (770 of 770 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
437,Updated Galician translations,0.70168597,* Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",1
438,fixes #1315 direct edit printing,0.36012658,New actions to copy image or metadata to clipboard,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
439,Translated using Weblate (Français),0.6099477,Translation updates,,0
440,Remove .desktop suffix from appdata id,0.45290416,Redesigned app icon,"Adds the ability to sort by File Modification Time, in addition to Exposure Date and Title. (#563)  Co-authored-by: Fabio Zaramella fabiozaramella@users.noreply.github.com Co-authored-by: Jeremy Wootten jeremy@elementaryos.org",0
441,"2077: Show in File Manager command now appears on Trash Page. Required code refractoring, so that menu appears in DirectEditMode too.",0.45048475,Show saved state correctly in the context-menu,Currently translated at 100.0% (768 of 768 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/es/,0
442,Move new GSettings init to construct (#206),0.48687422,* Use Gtk.FileChooserNative throughout,,0
443,Even stupider.  Code just needs to go away.,0.30638131,Redesign a large number of dialogs,  CI: Update Flatpak action   Update io.elementary.photos.yml ,0
444,kill extra frame,0.38199383,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 100.0% (768 of 768 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
445,blow away a bunch of crap in the histogram,0.46707445,pantheon-photos 0.2.4 is out!,Currently translated at 99.0% (761 of 768 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/fi/,0
446,Put the stop button import page to the right,0.47311908,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 75.3% (579 of 768 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ar/,0
447,Updated text for welcome page choices,0.4250325,Redesign a large number of dialogs,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ca/,0
448,Narrow crash on db creation,0.39382845,Fix a possible crash with invalid date and time info,,0
449,cleanup,0.25274277,* Fix building against latest gexiv2,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/es/,0
450,GConf to gsettings conversion: #3785,0.4913399,* Use Gtk.FileChooserNative throughout,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
451,Merged the debian/changelog file from the 0.8.x branch into trunk following the release of Shotwell 0.8.1.,0.35363644,"Replace all instances of ""Shotwell"" with ""Photos""","Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
452,fixes two multi-monitor related bugs: #1461 External monitor fullscreen toolbar misplaced and #1468 fullscreen view is not on correct monitor,0.48072547,Focus photos on startup when previewing to fix navigating with left and right arrow keys,,0
453,Add adjustment dialog screenshot (#447),0.58619845,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,,0
454,"add ""new event"" on context menu where ""Event-New Event"" exist, remove Event/Events Menu from Menubar",0.49135962,Show saved state correctly in the context-menu,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/zh_Hans/,0
455,Tries to use Gtk.Application.inhibit() and friends instead of calling directly into dbus; closes #5903.,0.4020905,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/fr/,0
456,Ctrl+F to hide or reveal search toolbar (lp:1360959),0.5281744,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/tr/,0
457,284: File/Export w/ scaling.,0.42240232,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
458,Updates version number in Makefile and translation files for the Shotwell 0.14.0PR1 pre-release.,0.5405451,Translation updates,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt/,0
459,Final merge from 0.3.0 branch to trunk.  These changes are largely related to the packaging process.,0.3216738,Redesigned app icon,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/he/,0
460,Closes #2967.,0.47257894,The list of issues closed by this release can be found here.,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/en_GB/,0
461,"1118: A variety of patches to speed up startup time.  More work may follow, but this patch was getting large",0.37009007,* Fix building against latest gexiv2,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/uk/,0
462,This addresses #3124; it's copied and pasted from the original fix (see r2615),0.31608993,New actions to copy image or metadata to clipboard,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
463,1130: Now detecting bogus EXIF timestamps and treating them as through they're unset.  Will need more work if,0.4805162,Fix a possible crash with invalid date and time info,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
464,Adds Peter Seiderer to the THANKS file.,0.28942534,* Updated translations,,0
465,Corrects some spacing issues.,0.32651567,Redesign a large number of dialogs,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/tr/,0
466,Problems with Samsung NV10: #4117,0.33096457,* Fix building against latest gexiv2,,0
467,Further file organization in preparation for the first tarball.,0.3666376,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
468,79: Tags.  This first commit sets up the plumbing for tags and implements a basic mechanism for adding/removing,0.34010753,* Use Granite.MessageDialog throughout,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/mr/,0
469,"Fixes critical assertions when running ""Import From Application..."" more than once. Closes #4766.",0.38935962,The list of issues closed by this release can be found here.,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
470,Adds icons to the publishing service selector drop-down menu; closes #1321.,0.53055394,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 52.9% (18 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
471,removed all keywords from desktop file (#191),0.4858212,Fix keyboard activation in tool windows,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/sr/,0
472,Closes #3579.,0.48496208,The list of issues closed by this release can be found here.,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
473,"Backed out changesets 2371 and 2374.  2374 broke importing, and the comments in changeset 2374",0.4885891,* Updated translations,Currently translated at 0.9% (7 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/si/,0
474,1502 deadlock in slideshow fix,0.39799613,* Fix building against latest gexiv2,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
475,Make CropTools Gobject-style constructed (#682),0.47512776,* Use Gtk.FileChooserNative throughout,,0
476,SinglePhotoPage: Use GObject-style construction (#426),0.5268012,Add checkerboard behind semi-transparent photos in grid view,Currently translated at 99.8% (772 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
477,adds feature #438 welcome screen for new users,0.5552131,Redesigned Photo Viewer icon,Currently translated at 99.8% (772 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
478,Improves messages displayed when view collections are empty or when no items in the collection match the search filter. Closes #3213.,0.36501682,The list of issues closed by this release can be found here.,Currently translated at 99.8% (772 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
479,Fixed #1303 (Edit->Remove should use red minus sign icon).,0.48615718,Redesigned app icon,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/uk/,0
480,redo prefs glade without deprecated gtk widgets,0.5077903,* Use Gtk.FileChooserNative throughout,Currently translated at 89.3% (691 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
481,add contractor actions to context menu,0.5627898,Show saved state correctly in the context-menu,Currently translated at 89.3% (691 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
482,Translated using Weblate (Español (España)),0.6087018,Translation updates,Currently translated at 52.9% (18 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
483,"2200: This patch fixes the second case Adam reported, photos being imported with no thumbnails after an import.",0.51585436,"Replace all instances of ""Shotwell"" with ""Photos""",Currently translated at 88.8% (687 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
484,"Fixes an assertion bug in direct edit mode.  Also, direct edit now takes advantage of some scaling optimizations ",0.4406131,Redesign a large number of dialogs,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ca/,0
485,Improves layout of the login pane in the Piwigo publishing plugin. Closes #4679.,0.49250686,Focus photos on startup when previewing to fix navigating with left and right arrow keys,Currently translated at 50.0% (17 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ru/,0
486,"Adds GSettings adapter support to the Config module. Via GSettings, we can now set the desktop background on GNOME 3 systems. Fixes #3496.",0.42196307,* Fix building against latest gexiv2,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/tr/,0
487,Use FileChooserNative (#489),0.6091387,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (34 of 34 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ca/,0
488,3030: 3GP support (originally added to trunk in r2529) merged into 0.8 branch.,0.27100024,pantheon-photos 0.2.3 is out!,Currently translated at 100.0% (773 of 773 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/es/,0
