Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
160,:memo: Add extra docs and tests for param types,0.67311877,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument. PR #594 by @tiangolo.",Co-authored-by: pre-commit github-actions@github.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,0
161,:memo: Add docs for asking with a prompt,0.6868289,Add docs for Asking with Interactive Prompts. PR #22.,,0
162,":sparkles: Add docs for testing, password, version, context. Extra tests, include callback and autocompletion PR (#68)",0.68107903,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,0
163,":wrench: Add type marker, support for PEP 561 (#58)",0.70311165,"Add support for PEP 561, to allow mypy to type check applications built with Typer. PR #58.",,1
164,":sparkles: Fix Termynal size, update first steps, add fast button",0.82960296,"Update Termynal to have fixed sizes, add ""fast"" button, and use it in First Steps. PR #6.",,1
165,:memo: Fix Twitter links,0.5651964,✏ Fix broken plac link. PR #275 by @mgielda.,,0
166,:memo: Add docs for using Click with Typer (#70),0.84301925,Add docs for Using Click (with Typer). PR #70.,,1
167,:white_check_mark: Add 4 extra tests for edge cases,0.6362984,Add extra tests for edge cases that don't belong in docs' examples. PR #32.,,0
168,✏ Fix spelling (shinny -> shiny) (#586),0.90421796,✏ Fix spelling (shinny -> shiny). PR #586 by @runofthemill.,,1
169,":sparkles: Add automatic completion options by default, if click-completion is installed",0.78441936,Add auto completion options by default when click-completion is installed: --install-completion and --show-completion. PR #7.,,1
170,:white_check_mark: Add tests for subcommands,0.6338404,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,0
171,⬆ Upgrade Isort to version 5.x.x (#137),0.9108424,Upgrade Isort to version 5.x.x. PR #137.,,1
172,:bookmark: Release version 0.0.6,0.5761377,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,Co-authored-by: Michael Adkins michael@prefect.io,0
173,🔧 Update new issue chooser to suggest GitHub Discussions (#544),0.9339893,🔧 Update new issue chooser to suggest GitHub Discussions. PR #544 by @tiangolo.,,1
174,:green_heart: Update dev dependencies and CI scripts,0.5007265,Update CI to run docs deployment in GitHub actions. PR #50.,Co-authored-by: yanlong.wang yanlong.wang@naiver.org Co-authored-by: Han Xiao han.xiao@jina.ai,0
175,✏ Fix typos and rewording in docs (#97),0.9031936,Fix typos and rewording in docs. PR #97 by @mrcartoonster.,,1
176,":memo: :sparkles: :bug: Commands: docs, examples, tests, and fix",0.54567176,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,0
177,🔧 Tweak pytest coverage (#485),0.84352726,🔧 Tweak pytest coverage. PR #485 by @tiangolo.,,1
178,"✨ Richify, add integrations with Rich everywhere (#419)",0.8904275,"✨ Richify, add integrations with Rich everywhere. PR #419 by @tiangolo.",,1
179,✏️ Add quotes to package name that includes brackets in docs (#475),0.92550564,✏️ Add quotes to package name that includes brackets in docs. PR #475 by @gjolga.,,1
180,🔖 Release version 0.9.0,0.57701266,⬆ Bump dawidd6/action-download-artifact from 2.9.0 to 2.24.1. PR #491 by @dependabot[bot].,,0
181,:bug: Fix handling defaults in TyperInfo,0.6611509,✨ Allow configuring pretty errors when creating the Typer instance. PR #416 by @tiangolo.,,0
182,":bug: Make Tutorial intro be the index, to have a tutorial root",0.51620746,"Add initial version of code, docs, etc.",,0
183,📝 Fix typo in docs at docs/tutorial/commands/help.md (#466),0.93175125,📝 Fix typo in docs at docs/tutorial/commands/help.md. PR #466 by @fepegar.,because it was actually a LOT of work to not break changes,1
184,:memo: Add docs for launching applications/files.,0.67814326,Add docs for Launching Applications. PR #25.,,0
185,:sparkles: Add support for forward references (#93),0.72578377,Add support for forward references (types declared inside of strings). PR #93.,,1
186,:bookmark: Release version 0.2.0,0.55160415,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
187,":memo: Add docs section, build a package from scratch (#71)",0.7054426,Add docs for Building a Package. PR #71.,,1
188,🐛 Fix import of get_terminal_size for click 8.1.0 support and upgrade Black for CI (#380),0.87687624,🐛 Fix import of get_terminal_size for Click 8.1.0 support and upgrade Black to fix CI. PR #380 by @tiangolo based on original PR #375 by @madkinsz.,,1
189,:bookmark: Release version 0.0.3,0.60090744,"Upgrade Mkdocs-Material version, update contributing guide style. PR #90.",,0
190,:white_check_mark: Add tests for CLI parameter types,0.644093,Add docs for CLI Parameters with Multiple Values. Includes tests for all the examples and bug fixes. PR #31.,,0
191,:sparkles: Improve --install-completion messages,0.59181553,Update references to --install-completion and --show-completion in docs. PR #9.,,0
192,:arrow_up: Upgrade Netlify deploy action (#57),0.6349218,Upgrade deploy docs to Netlify GitHub action. PR #57.,,0
193,🔧 Update issue-manager (#114),0.7644348,Update GitHub Action issue-manager. PR #114.,,1
194,:memo: Add docs and examples for Commands,0.66330665,New docs: Commands: Using the Context.,,0
195,:recycle: Refactor subcommands to not require being a package,0.5176421,"Refactor docs to make each individual page/section ""bite-sized"" / small. Add docs for CLI option names. Update typer.Argument() to remove invalid positional param_decls. PR #19.",,0
196,👷 Move from pytest-cov to coverage and Codecov to Smokeshow (#483),0.93350327,👷 Move from pytest-cov to coverage and Codecov to Smokeshow. PR #483 by @tiangolo.,,1
197,:bento: Add logos,0.5955977,🔧 Add sponsors docs and badge. PR #319 by @tiangolo.,,0
198,:fire: Remove unnecessary noqa comments,0.43535003,Remove unneeded code for argument handling. PR #26.,,0
199,:wrench: Add main config files,0.55235225,Add docs for calling packages with python -m some_package using __main__.py: Building a Package: Support python -m. PR #121.,,0
200,:memo: Update docs with references to --install-completion,0.70741093,Update references to --install-completion and --show-completion in docs. PR #9.,,1
201,:wrench: Update tests tools,0.6759729,"Fix testing utilities, add tests for First Steps examples. PR #8.",,0
202,✨ Add pretty error tracebacks for user errors and support for Rich (#412),0.89624715,✨ Add pretty error tracebacks for user errors and support for Rich. PR #412 by @tiangolo.,,1
203,"✏ Fix double ""and"" typo in first-steps tutorial (#225)",0.9082556,"✏ Fix double ""and"" typo in first-steps tutorial. PR #225 by @softwarebloat.",Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
204,✏ Fix typos in main page/README (#103),0.7812824,Fix typos in README and main docs #103 by @mrcartoonster.,,1
205,:pencil: Rewording in docs and fix typos,0.8004914,Fix typos and rewording in docs. PR #97 by @mrcartoonster.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
206,🔧 Add updated issue templates (#323),0.84378684,🔧 Add updated issue templates. PR #323 by @tiangolo.,,1
207,:art: Update testing coverage badge (#78),0.80891025,Update coverage badge. PR #78.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
208,✏ Fix minor typo in index.md (#274),0.87571275,✏ Fix minor typo in index.md. PR #274 by @RmStorm.,,1
209,":bug: Fix test completion, check for bash completion file before running",0.7108809,Fix completion evaluation for Bash and Zsh when the program is not installed/found. PR #83.,,1
210,":sparkles: Re-implement completion, fixes, add PowerShell support (#66)",0.58816254,"Add support for modern versions of PowerShell, 5, 6, and 7 (e.g. in Windows 10).",,0
211,:memo: Add README and CONTRIBUTING,0.40317303,📝 Add docs for using Rich with Typer. PR #421 by @tiangolo.,  ✅ Report XML Coverate to support GitHub Actions   🙈 Add coverage report to .gitignore   ✅ Add custom testing .zshrc logic for coverage ,0
212,✏️ Fix typo in release notes,0.6940478,✏ Fix typo in docs/tutorial/terminating.md. PR #382 by @kianmeng.,,0
213,"⬆️ Upgrade MkDocs Material, MDX-Include, and MkDocs structure (#356)",0.94009924,"⬆️ Upgrade MkDocs Material, MDX-Include, and MkDocs structure. PR #356 by @tiangolo.",,1
214,✅ Report coverage in XML (#146),0.74331766,Report coverage in XML to support GitHub Actions. PR #146.,,1
215,🔖 Release version 0.3.0,0.58113253,"Upgrade Mkdocs-Material version, update contributing guide style. PR #90.",,0
216,:memo: Add docs for CLI arguments,0.75128174,Add docs for CLI Arguments. PR #13.,,1
217,:white_check_mark: Add tests for CLI arguments,0.6322712,Add support for help parameter in CLI arguments:,,0
218,:sparkles: Add docs for CLI Options with tests,0.7962675,Add docs for CLI Parameters with Multiple Values. Includes tests for all the examples and bug fixes. PR #31.,,1
219,➕ Bring back pytest-cov because coverage can't detect pytest-xdist (#484),0.9457238,➕ Bring back pytest-cov because coverage can't detect pytest-xdist. PR #484 by @tiangolo.,,1
220,:green_heart: Update Netlify script with local Docker image tests,0.46659598,⬆ Bump nwtgck/actions-netlify from 1.1.5 to 1.2.4. PR #479 by @dependabot[bot].,,0
221,:sparkles: Add support for mermaid visualizations (#56),0.8483919,Add support for Mermaid JS for visualizations. PR #56.,,1
222,:white_check_mark: Add tests for prompts,0.5379524,"Fix testing utilities, add tests for First Steps examples. PR #8.",  🚚 Move docs src files to root docs_src   🚚 Update example includes from root docs_src   🚚 Import docs src examples for tests from docs_src   ⬆️ Upgrade isort and configs   🎨 Update format in testing   🔧 Update configs with root docs_src   🔥 Remove obsolete/unecessary section in contributing guide   🎨 Re-format multi-file example   ⏪ Revert format for multi-file examples   🔧 Add isort skips for multi-file examples ,0
223,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0 (#481),0.9444855,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,1
224,📝 Clarify testing documentation about checking stderr (#335),0.9211962,📝 Clarify testing documentation about checking stderr. PR #335 by @cgabard.,,1
225,:memo: Add emphasis note about using typer.echo instead of print (#89),0.5942134,"For most use cases not using Rich, use plain print() instead of typer.echo() in the docs, to simplify the concepts and avoid confusions. New docs: Printing and Colors - typer Echo."," ✨ Implement custom TyperCommand and TyperArgument  to support help in CLI Arguments   ✨ Update data models to store help for CLI Arguments   ✨ Add help to typer.Argument()   ✨ Use new TyperCommand and TyperArgument classes by default   to support CLI Arguments with help   ✅ Update failing test   ✨ Make showing default values default to true and support arguments hidden from help text   ✨ Add docs for CLI arguments with defaults, help, and new features   📝 Update CLI options with new show_default=True by default   📝 Add example of CLI arguments with tuples   📝 Update docs with new generated help text for CLI arguments   📝 Use Optional for None example in micro-intro to types   ✅ Add tests for new CLI argument features from docs examples   ✅ Update tests with new generated help text for CLI arguments   ✅ Add tests for CLI arguments with tuple defaults   🔧 Update MkDocs with new sections   ✨ make show_envvar default to True   ✨ Add docs for envvar in CLI arguments   ✅ Add tests for CLI arguments with env vars from docs   🎨 Add format to CLI usage examples in docs   🔧 Add section about CLI arguments with env vars to MkDocs   📝 Fix link in docs with new structure   🎨 Fix format in first-steps ",0
226,":memo: :sparkles: :bug: Add docs for CLI parameters with multiple values, with tests and bug fixes",0.78795266,Add docs for CLI Parameters with Multiple Values. Includes tests for all the examples and bug fixes. PR #31.,,1
227,:memo: Update docs for app_dir using Path,0.6027746,Update docs for path CLI option. PR #21.,,0
228,:memo: Release notes,0.47603896,⬆ Bump actions/upload-artifact from 2 to 3. PR #477 by @dependabot[bot].,,0
229,:bug: Fix overwritten test function,0.50913167,Several bug fixes.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
230,:bug: Fix and document extracting help form docstring,0.7905831,Fix and document extracting help from a functions' docstring First Steps: Document your CLI app. PR #10.,,1
231,":sparkles: Add custom termynal handling for docs, with fenced code",0.7578814,Add custom automatic Termynal for docs. PR #5.,  👌 IMPROVE: Correcting typos   📝 Replicate fixes to README to docs/index.md   Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
232,👷 Add CI for Python 3.10 (#384),0.90912235,👷 Add CI for Python 3.10. PR #384 by @tiangolo.,,1
233,:recycle: :memo: Refactor docs' structure and add CLI option names,0.6718364,Support for callbacks based on type annotations. New docs: CLI Option Callback and Context.,Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,0
234,:memo: Add first version of docs,0.65641177,"Add initial version of code, docs, etc.",,0
235,:memo: Add docs about alternatives and inspiration (#62),0.7173176,"Add docs about Alternatives, Inspiration and Comparisons. PR #62.",,1
236,:bookmark: Release version 0.0.9,0.54776466,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
237,:bug: Fix Bash completion install to .bashrc (#81),0.7828002,Fix shell installation for Bash to ~/.bashrc and update Windows development docs. PR #81.,,1
238,:bug: Do not show an error on completion eval if the program is not installed (#83),0.59689546,Fix completion evaluation for Bash and Zsh when the program is not installed/found. PR #83.,,0
239,:memo: Add docs for CLI Arguments,0.7742449,Add docs for CLI Arguments. PR #13.,,1
240,👷 Add pre-commit CI config (#394),0.87418914,👷 Add pre-commit CI config. PR #394 by @tiangolo.,,1
241,🐛 Fix setting FORCE_TERMINAL with colors 2 (#424),0.91665846,🐛 Fix setting FORCE_TERMINAL with colors 2. PR #424 by @tiangolo.,,1
242,"📝 Tweak docs, Custom Types path, main page and READAME colors, broken links (#588)",0.92327577,"📝 Tweak docs, Custom Types path, main page and READAME colors, broken links. PR #588 by @tiangolo.",  :sparkles: Add support for forward references   :white_check_mark: Add forward references test   :bug: Fix coverage in completion   :bug: Fix testing with Pytest and Pytest-sugar   :pushpin: Pin Pytest ,1
243,:art: Fix format,0.55601454,"🎨 Fix header format for ""Standard Input"" in docs/tutorial/printing.md. PR #386 by @briancohan.",,0
244,🔧 Add sponsors docs and badge (#319),0.89678407,🔧 Add sponsors docs and badge. PR #319 by @tiangolo.,,1
245,:bookmark: Release 0.0.5,0.56669676,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot]., :sparkles: Re-implement completion install to lazy load  to support completion for programs under environments   :white_check_mark: Update tests for new lazy loaded completion   :white_check_mark: Update test after removing period from message ,0
246,🔖 Release version 0.4.1,0.59280527,Upgrade Isort to version 5.x.x. PR #137.,,0
247,:art: Tweak Termynal CSS and emojis,0.4149911,⬆ Bump actions/upload-artifact from 2 to 3. PR #477 by @dependabot[bot].,,0
248,✏ Fix link in docs to datetime.strptime() (#464),0.8964099,✏ Fix link in docs to datetime.strptime(). PR #464 by @Kobu.,,1
249,➕ Add extra Material for MkDocs deps for docs (#482),0.9062029,➕ Add extra Material for MkDocs deps for docs. PR #482 by @tiangolo.,  :heavy_plus_sign: Upgrade Material-Mkdocs   :bug: Fix Mkdocs config bug   :heavy_plus_sign: Upgrade Mkdocs-material configs ,1
250,:memo: Fix GitHub markdown formatting,0.5130296,👷 Add GitHub Action Latest Changes. PR #321 by @tiangolo.,,0
251,:bookmark: Release 0.0.7,0.5588484,⬆ Bump tiangolo/issue-manager from 0.2.0 to 0.4.0. PR #481 by @dependabot[bot].,,0
252,:memo: Update docs for First Steps,0.5962908,Update docs and add latest changes to MkDocs/website. PR #33.,  :bug: Fix Fish completion script   :bug: Do not show an error on completion eval if the program is not installed   :sparkles: Add stderr redirect to /dev/null for Fish too   :white_check_mark: Update completion tests ,0
253,:white_check_mark: Add tests for Commands,0.5577073,Tests for the completion logic/code.,,0
254,:sparkles: Make installed completion lazy load (#92),0.53010106,Add support for completion for commands/programs not available on startup.,,0
255,:memo: Add docs for first steps,0.5811953,"Add initial version of code, docs, etc.",  :bug: Fix Bash completion setup to .bashrc   :memo: Update docs and script for Windows development environment ,0
256,📝 Add Jina's QA Bot to the docs to help people that want to ask quick questions (#368),0.9599223,📝 Add Jina's QA Bot to the docs to help people that want to ask quick questions. PR #368 by @tiangolo.,,1
257,:memo: Add docs for callbacks and one or multiple commands,0.6087008,"New docs for setting an epilog, with support for Rich Markdown and Console Markup, new docs: Commands - Command Help - Epilog.",,0
258,🐛 Fix context_settings for a Typer app with a single command (#210),0.89824,🐛 Fix context_settings for a Typer app with a single command. PR #210 by @daddycocoaman.,,1
259,🔖 Release version 0.6.1,0.5960604,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.26.0. PR #558 by @dependabot[bot].,,0
260,improve wording and fix typos,0.74359095,Docs rewording and fix typos. PR #1 by @mariacamilagl.,,1
261,:memo: Add docs for launching applications,0.6765043,Add docs for Launching Applications. PR #25.,  :white_check_mark: Add coverage instructions to tests   :memo: Update docs note about coverage in features   :art: Fix format   :art: Update testing docs format ,0
262,🔧 Add pre-commit config and formatting (#392),0.86524254,🔧 Add pre-commit config and formatting. PR #392 by @tiangolo.,"  :memo: Add docs section, build a package from scratch   :memo: Update Package docs   :pencil2: Fix internal links ",1
263,:white_check_mark: Add extra tests for edge cases that don't belong on docs,0.7551669,Add extra tests for edge cases that don't belong in docs' examples. PR #32.,,1
264,🔖 Release version 0.5.0,0.6670157,Upgrade Isort to version 5.x.x. PR #137.,  :memo: Add docs for using Click with Typer   :white_check_mark: Add tests for integrating Click and Typer ,0
265,🔖 Release version 0.7.0,0.57767636,Upgrade Isort to version 5.x.x. PR #137.,,0
266,🎨 Fix format in docs explaining datetime parameter type (#220),0.9238763,🎨 Fix format in docs explaining datetime parameter type. PR #220 by @DiegoPiloni.,"In the tutorial, the length of the progress bar is set to 1000 and the update was mistakenly set to 2500. The update should be 1/4 of the length given that the loop runs for 4 iterations. This commit sets the update amount to 250 which better showcases the feature.",1
267,:wrench: Update coverage pragma,0.6474003,🔧 Tweak pytest coverage. PR #485 by @tiangolo.,,0
268,✏ Fix broken plac link (#275),0.886819,✏ Fix broken plac link. PR #275 by @mgielda.,"  :sparkles: Implement custom handling for callbacks with types   :sparkles: Implement type-based handling for completion functions   :sparkles: Add examples for custom completion   :memo: Add docs for custom autocompletion   :white_check_mark: Add tests for autocompletion   :sparkles: Document using the context   :white_check_mark: Add tests for using the context   :white_check_mark: Add tests init for context   :wrench: Update Mypy config   :white_check_mark: Add extra tests for completion   :pencil2: Fix format, typos, and minor texts   :sparkles: Update docs for printing, include stdout, stderr, and stdin   :pencil2: Add references to FastAPI, fix typos   :pencil2: Fix typo in Typer CLI   :memo: Update docs for version   :memo: Update docs for callbacks   :memo: Update references to stdout/stderr in autocompletion   :memo: Add docs for password in CLI option   :memo: Add docs and tests for Testing   :memo: Add new sections to docs   :art: Fix formatting ",1
269,:sparkles: Add docs and examples for subcommands,0.7307054,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,1
270,"🎨 Fix header format for ""Standard Input"" in docs/tutorial/printing.md (#386)",0.96467686,"🎨 Fix header format for ""Standard Input"" in docs/tutorial/printing.md. PR #386 by @briancohan.",,1
271,⬆ [pre-commit.ci] pre-commit autoupdate (#512),0.9222368,⬆ [pre-commit.ci] pre-commit autoupdate. PR #512 by @pre-commit-ci[bot].,"  :sparkles: Re-implement completion   :white_check_mark: Add tests for re-implemented completion   :art: Move mypy config to file   :see_no_evil: Update .gitignore   :heavy_plus_sign: Remove click-completion, add support for autodetection with shellingham   :white_check_mark: Fix test for PowerShell   :bug: Fix PowerShell permissions/test   :art: Format test   :checkered_flag: Fix PowerShell script for Windows and PowerShell 5   :memo: Update docs, internal implementation of completion ",1
272,👷 Clear MkDocs Insiders cache (#393),0.90160096,👷 Clear MkDocs Insiders cache. PR #393 by @tiangolo.,,1
273,✏ Fix typo in docs/tutorial/terminating.md (#382),0.9215894,✏ Fix typo in docs/tutorial/terminating.md. PR #382 by @kianmeng.,,1
274,🎨 Fix type annotation of typer.run() (#284),0.8180032,🎨 Fix type annotation of typer.run(). PR #284 by @yassu.,,1
275,:memo: Add contributing guide (#61),0.5063976,🔧 Add GitHub Discussion templates for questions. PR #541 by @tiangolo.,"  :sparkles: Add docs for Typer CLI   :memo: Update references to Typer CLI in docs   :wrench: Update tests to check files and linting before tests, to error out early   :memo: Sync README.md with docs/index.md ",0
276,:bug: Fix Zsh completion install (#69),0.8841891,Fix Zsh completion install script. PR #69.,,1
277,:sparkles: Add first version of subcommands tutorial,0.6137706,Add docs for SubCommands - Command Groups. This includes tests for all the examples and bug fixes. PR #28.,,0
278,:memo: Add docs for printing and terminating,0.6141141,"New docs for setting an epilog, with support for Rich Markdown and Console Markup, new docs: Commands - Command Help - Epilog.",,0
279,:sparkles: Add first cleaned version of main code,0.5963157,"Add initial version of code, docs, etc.",,0
280,📝 Add docs for main.py (#121),0.6843346,Add docs for calling packages with python -m some_package using __main__.py: Building a Package: Support python -m. PR #121.,,0
281,🔖 Release version 0.4.0,0.59135425,Upgrade Isort to version 5.x.x. PR #137.," :arrow_up: Upgrade required Click to 7.1.1 and pin it to patch versions  as a MINOR version broke compatibility, so I'll have to upgrade manually every time   :pushpin: Fix pinning Click to MINOR version   :sparkles: Upgrade code to be compatible with latest Click changes   :white_check_mark: Update tests with new format for errors   :memo: Update docs to keep them in sync with actual output ",0
282,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument (#594)",0.96980965,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument. PR #594 by @tiangolo.",,1
283,⬆ Bump nwtgck/actions-netlify from 1.1.5 to 1.2.4 (#479),0.93712765,⬆ Bump nwtgck/actions-netlify from 1.1.5 to 1.2.4. PR #479 by @dependabot[bot].,,1
284,⬆ Bump actions/checkout from 2 to 3 (#478),0.8716908,⬆ Bump actions/checkout from 2 to 3. PR #478 by @dependabot[bot].,,1
285,:memo: Update docs. Add latest docs to MkDocs/website.,0.7951572,Update docs and add latest changes to MkDocs/website. PR #33.,,1
286,✨ Refactor and document handling pretty exceptions (#422),0.85858476,✨ Refactor and document handling pretty exceptions. PR #422 by @tiangolo.,,1
287,":memo: :sparkles: Add colors module and docs for printing and terminating, including tests.",0.80031955,"Add colors module and docs for Printing and Colors and for Terminating, including tests. PR #20.",,1
288,⬆ [pre-commit.ci] pre-commit autoupdate (#404),0.91308343,⬆ [pre-commit.ci] pre-commit autoupdate. PR #404 by @pre-commit-ci[bot].,,1
289,✨ Add support for PEP-593 Annotated for specifying options and arguments (#584),0.92681,✨ Add support for PEP-593 Annotated for specifying options and arguments. Initial PR #584 by @ryangalamb.,,1
290,✏ Fix typo in docs for CLI Option autocompletion (#288),0.92321384,✏ Fix typo in docs for CLI Option autocompletion. PR #288 by @graue70.,,1
